 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 |
 | PRW | -0.00114045 / -0.00114046 | 0.000146506 / 0.000146506 | 0.00258481 / 0.00258482 | -0.000444272 / -0.000444273 | -0.153597 / -0.153598 | 0.0126031 / 0.0126031 | -0.0604024 / -0.0604025 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00426749 / -0.00426761 | 0.00460707 / -0.0046072 | 0.00565818 / -0.00565849 | 0.00435431 / -0.00435442 | 0.00358201 / -0.0035821 | 0.00407489 / -0.00407496 | 0.00217665 / -0.00217666 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0202804 / -0.0202833 | 0.0207624 / -0.0207654 | 0.0219568 / -0.0219602 | 0.0201745 / -0.0201774 | 0.015736 / -0.0157377 | 0.0195132 / -0.019516 | 0.011569 / -0.01157 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0842197 / -0.0842807 | 0.0502404 / -0.0502621 | 0.0408517 / -0.0408661 | 0 / 0 | 0.0335515 / -0.0335612 | 0.0429479 / -0.0429637 | 0.0155956 / -0.0155977 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00237457 / -0.00237461 | 0.00310338 / -0.00310343 | 0.0123263 / -0.0123273 | 0 / 0 | 0.00295583 / -0.0029559 | 0.00326555 / -0.00326564 | -0.000282816 / 0.000282832 | 0 / 0 |
 | EG_RESOLUTION_ALL | 6.04289e-06 / -6.04162e-06 | 0.000716562 / -0.000716551 | -0.00174587 / 0.00174586 | 0.00193977 / -0.00193978 | 0.00402421 / -0.00402432 | 3.20892e-06 / -3.22895e-06 | 9.04676e-06 / -9.03033e-06 | 0 / 0 |
 | EG_SCALE_ALL | 3.21672e-05 / -3.21659e-05 | 0.0193405 / -0.0193432 | 0.00737806 / -0.00737857 | 0.00196057 / -0.00196058 | -1.94515e-07 / 1.90637e-07 | 0.0622569 / -0.0622859 | 0.0046655 / -0.00466565 | 0 / 0 |
 | JET_BJES_Response | 4.81287e-06 / -4.81161e-06 | -0.000100947 / 0.000100891 | 0.000363432 / -0.000363419 | 4.75487e-05 / -4.75309e-05 | 0.00117932 / -0.00117933 | 0.0693716 / -0.069405 | 0.00128117 / -0.00128116 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 2.83376e-06 / -2.83249e-06 | 0.000633573 / -0.000633561 | 0.000168591 / -0.000168577 | 0.000328372 / -0.000328355 | 3.6601e-08 / 3.6601e-08 | -1.0016e-08 / -1.0016e-08 | 0.000104145 / -0.000104128 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | -4.43148e-07 / 4.44417e-07 | 7.59496e-05 / -7.59353e-05 | 3.50277e-05 / -3.50139e-05 | 1.17719e-07 / -9.99038e-08 | 3.66042e-08 / 3.66042e-08 | -1.00169e-08 / -1.00169e-08 | 8.21382e-09 / 8.21383e-09 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 3.7898e-06 / -3.78853e-06 | 0.0130155 / -0.0130166 | 0.00397037 / -0.00397046 | -0.00231178 / 0.00231176 | -1.94662e-07 / 1.90781e-07 | 0.0623053 / -0.0623313 | 0.00466902 / -0.00466915 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -1.36867e-05 / 1.3688e-05 | 0.00160299 / -0.00160306 | -0.000297838 / 0.000297851 | 0.00225244 / -0.00225246 | 0.000418198 / -0.000418203 | 0.0693792 / -0.0694121 | 0.00457345 / -0.00457357 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 8.02285e-06 / -8.02158e-06 | 0.00225064 / -0.00225066 | 0.00101804 / -0.00101804 | 0.00131586 / -0.00131596 | 3.66042e-08 / 3.66042e-08 | -1.00169e-08 / -1.00169e-08 | 0.00467813 / -0.00467826 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 1.02719e-05 / -1.02706e-05 | 0.00428329 / -0.00428341 | 0.00210919 / -0.00210921 | 0.00518166 / -0.00518184 | 0.0007788 / -0.000778808 | 0.0697119 / -0.0697464 | 0.00699411 / -0.00699444 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 1.33327e-05 / -1.33315e-05 | 0.0089882 / -0.00899007 | 0.00236831 / -0.00236842 | 0.00362636 / -0.00362665 | 3.60082e-08 / 3.60084e-08 | 0.0682225 / -0.0683312 | 0.00460193 / -0.00460241 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -1.68972e-05 / 1.68985e-05 | 0.000600971 / -0.000600959 | 0.00076866 / -0.00076865 | 0.000521321 / -0.000521305 | 3.66041e-08 / 3.66042e-08 | -1.00169e-08 / -1.00169e-08 | -0.000104137 / 0.000104154 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 3.07868e-07 / -3.066e-07 | 0.000906279 / -0.00090627 | 5.74456e-05 / -5.75479e-05 | 0.000415776 / -0.000415759 | 3.66042e-08 / 3.66042e-08 | -1.00169e-08 / -1.00169e-08 | 8.21382e-09 / 8.21382e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 8.48097e-07 / -8.46838e-07 | 0.00465958 / -0.00465987 | 0.00211419 / -0.00211424 | 0.00355697 / -0.00355713 | 3.63506e-08 / 3.63507e-08 | 0.0688913 / -0.0689564 | 0.00464567 / -0.00464595 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 2.36576e-05 / -2.36563e-05 | 0.000503771 / -0.000503758 | -0.000324124 / 0.000324137 | 3.66782e-05 / -3.66604e-05 | 0.000418247 / -0.000418252 | -1.00169e-08 / -1.00169e-08 | -0.000104137 / 0.000104154 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -2.38222e-07 / 2.39489e-07 | 0.000329139 / -0.000329195 | 7.42516e-05 / -7.42378e-05 | 0.000655272 / -0.000655366 | 3.65862e-08 / 3.65862e-08 | 0.0693525 / -0.0693871 | 0.00467583 / -0.00467597 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 4.06294e-06 / -4.06168e-06 | 3.82581e-05 / -3.82437e-05 | -3.39684e-05 / 3.39823e-05 | 0.000416319 / -0.000416303 | 3.66042e-08 / 3.66041e-08 | -1.00169e-08 / -1.00169e-08 | 8.21382e-09 / 8.2138e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -6.24644e-06 / 6.24771e-06 | 5.581e-05 / -5.58656e-05 | 4.11838e-05 / -4.117e-05 | -1.0792e-06 / 1.09702e-06 | 3.66041e-08 / 3.66041e-08 | -1.00169e-08 / -1.00169e-08 | 8.2138e-09 / 8.2138e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | -3.0656e-07 / 3.07828e-07 | 0.000952283 / -0.000952275 | 0.00021457 / -0.000214557 | 1.177e-07 / -9.98883e-08 | 3.65985e-08 / 3.65986e-08 | -1.00153e-08 / -1.00154e-08 | 8.21254e-09 / 8.21256e-09 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | -3.87361e-05 / 3.87373e-05 | 0.0112179 / -0.0112196 | 0.00156857 / -0.00156859 | 0.00624582 / -0.00624646 | 0.00704212 / -0.00704282 | 0.150203 / -0.150521 | 0.00586022 / -0.00586068 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 5.58865e-05 / -5.58859e-05 | 0.0576217 / -0.0580953 | 0.0223406 / -0.0224113 | 0.0199686 / -0.0200251 | 0.0196814 / -0.0197363 | 0.186951 / -0.192063 | 0.0228362 / -0.0229101 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | -3.65203e-06 / 3.65329e-06 | 0.000920052 / -0.000920043 | 0.000675388 / -0.000675377 | 0.00101869 / -0.00101868 | -0.000418251 / 0.000418246 | -1.00169e-08 / -1.00169e-08 | 9.84877e-05 / -9.84714e-05 | 0 / 0 |
 | JET_Flavor_Composition | 6.29283e-05 / -6.2927e-05 | 0.0095972 / -0.00959799 | 0.00339182 / -0.00339191 | 0.00561189 / -0.00561214 | 0.00115473 / -0.00115474 | -0.00016424 / 0.00016422 | 0.00431526 / -0.00431541 | 0 / 0 |
 | JET_Flavor_Response | -1.76147e-05 / 1.76159e-05 | 0.00192789 / -0.00192799 | 3.45077e-05 / -3.46075e-05 | 0.000468719 / -0.000468708 | 0.000232168 / -0.000232174 | 0.0672851 / -0.0674303 | 0.00396061 / -0.0039611 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.000178532 / 0.000178533 | -0.0756271 / 0.0755875 | -0.0280316 / 0.0280261 | -0.0416899 / 0.0419463 | -0.044893 / 0.0448791 | -0.078963 / 0.0789199 | -0.00321288 / 0.00321282 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 9.05655e-05 / -9.05642e-05 | -6.93613e-05 / 6.93756e-05 | -0.00116276 / 0.00116276 | -0.000677118 / 0.000677133 | -0.00465867 / 0.00465853 | 0.000603084 / -0.000603107 | 0.00220005 / -0.00220013 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 9.95156e-05 / -9.95144e-05 | -0.00695611 / 0.00695577 | -0.00102134 / 0.00102135 | -0.000642225 / 0.00064224 | -0.0064758 / 0.00647549 | -0.0764585 / 0.0764156 | -0.0118749 / 0.0118739 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -2.49123e-06 / 2.4925e-06 | -0.00616195 / 0.00616171 | -0.000381135 / 0.000381148 | 0.00154938 / -0.00154938 | -0.00193914 / 0.00193911 | 0.0623059 / -0.0623321 | 0.00933737 / -0.00933795 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -4.65467e-05 / 4.65479e-05 | 0.00697073 / -0.0069711 | -0.00134648 / 0.00134648 | -0.000935313 / 0.000935324 | 0.0122453 / -0.0122465 | 0.0763808 / -0.0764263 | 0.0088976 / -0.00889827 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -1.97642e-05 / 1.97655e-05 | -0.00114036 / 0.00114037 | -0.0033699 / 0.00336983 | 0.00327772 / -0.00327777 | -0.00644903 / 0.00644874 | -0.0773579 / 0.0773176 | 0.0178006 / -0.0178027 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 1.18354e-05 / -1.18341e-05 | 0.00187845 / -0.00187846 | 0.00169925 / -0.00169925 | 0.00524623 / -0.00524643 | 0.000606024 / -0.00060603 | 0.0696741 / -0.0697111 | 0.00124133 / -0.00124133 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 2.90215e-06 / -2.90088e-06 | -0.000382204 / 0.000382218 | 0.000559556 / -0.000559544 | 0.00161316 / -0.00161316 | 0.000973552 / -0.000973562 | 0.000352318 / -0.000352274 | 0.00213596 / -0.00213597 | 0 / 0 |
