 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.000383422 / -0.000383422 | 0.0167069 / 0.0167069 | -0.0034365 / -0.0034365 | 0.00869078 / 0.00869078 | 0.00268816 / 0.00268816 | -0.0140998 / -0.0140998 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00464764 / -0.00464764 | 0.00473435 / -0.00473435 | 0.00451707 / -0.00451707 | 0.00441342 / -0.00441342 | 0.00441238 / -0.00441238 | 0.00442888 / -0.00442888 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0216481 / -0.0216481 | 0.0222321 / -0.0222321 | 0.021133 / -0.021133 | 0.0207465 / -0.0207465 | 0.0206388 / -0.0206388 | 0.020797 / -0.020797 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0239016 / -0.0239016 | 0.0252167 / -0.0252167 | 0.0215477 / -0.0215477 | 0.0194508 / -0.0194508 | 0.018529 / -0.018529 | 0.019762 / -0.019762 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00284308 / -0.00284308 | 0.00317484 / -0.00317484 | 0.00274124 / -0.00274124 | 0.00257974 / -0.00257974 | 0.00284299 / -0.00284299 | 0.0026405 / -0.0026405 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.000116687 / -0.000116687 | -0.000337967 / 0.000337967 | -5.35055e-05 / 5.35055e-05 | 0.000994757 / -0.000994757 | -0.000831608 / 0.000831608 | -0.000892952 / 0.000892952 | 0 / 0 |
 | EG_SCALE_ALL | -0.000113622 / 0.000113622 | 0.00793811 / -0.00793811 | 0.000223551 / -0.000223551 | 0.00172518 / -0.00172518 | 0.000772992 / -0.000772992 | 0.00116938 / -0.00116938 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -0.00430206 / 0.00430206 | -0.0128017 / 0.0128017 | -0.00105907 / 0.00105907 | -0.00329278 / 0.00329278 | -0.00519953 / 0.00519953 | -0.00281858 / 0.00281858 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00401837 / 0.00401837 | -0.004767 / 0.004767 | -0.00118517 / 0.00118517 | -0.00356005 / 0.00356005 | -0.00726428 / 0.00726428 | -0.00202563 / 0.00202563 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00402599 / 0.00402599 | -0.017395 / 0.017395 | -0.00197327 / 0.00197327 | -0.00272779 / 0.00272779 | -0.00400789 / 0.00400789 | -0.00131974 / 0.00131974 | 0 / 0 |
 | JET_BJES_Response | 4.63004e-05 / -4.63004e-05 | -0.000305141 / 0.000305141 | -8.34337e-06 / 8.34337e-06 | -0.000473437 / 0.000473437 | 0.00325262 / -0.00325262 | -0.000542769 / 0.000542769 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00136468 / -0.00136468 | 0.000500506 / -0.000500506 | 0.000528848 / -0.000528848 | 0.000643165 / -0.000643165 | 0.00137482 / -0.00137482 | 0.00099935 / -0.00099935 | 0 / 0 |
