 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 |
 | PRW | -0.00038097 / -0.000380972 | 0.0165992 / 0.0165993 | -0.00341456 / -0.00341457 | 0.00863496 / 0.00863499 | 0.00267094 / 0.00267095 | -0.0140102 / -0.0140103 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00461661 / -0.00461675 | 0.00470274 / -0.00470289 | 0.00448692 / -0.00448705 | 0.00438395 / -0.00438408 | 0.00438292 / -0.00438305 | 0.00439931 / -0.00439944 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.021493 / -0.0214963 | 0.0220728 / -0.0220762 | 0.0209816 / -0.0209848 | 0.020598 / -0.020601 | 0.020491 / -0.020494 | 0.0206481 / -0.0206511 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0236955 / -0.0237003 | 0.0249992 / -0.0250045 | 0.0213621 / -0.021366 | 0.0192834 / -0.0192866 | 0.0183696 / -0.0183725 | 0.019592 / -0.0195953 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00282412 / -0.00282417 | 0.00315366 / -0.00315373 | 0.00272295 / -0.002723 | 0.00256254 / -0.00256258 | 0.00282403 / -0.00282409 | 0.00262289 / -0.00262294 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.00011591 / -0.00011591 | -0.000335718 / 0.000335718 | -5.31495e-05 / 5.31495e-05 | 0.000988134 / -0.000988141 | -0.000826076 / 0.000826071 | -0.000887012 / 0.000887007 | 0 / 0 |
 | EG_SCALE_ALL | -0.000112779 / 0.000112779 | 0.00787902 / -0.00787948 | 0.000221893 / -0.000221893 | 0.00171238 / -0.0017124 | 0.000767257 / -0.000767261 | 0.0011607 / -0.00116071 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -0.00427322 / 0.00427309 | -0.0127163 / 0.0127152 | -0.00105196 / 0.00105195 | -0.00327069 / 0.00327062 | -0.00516468 / 0.0051645 | -0.00279966 / 0.00279961 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00399144 / 0.00399133 | -0.00473506 / 0.00473491 | -0.00117722 / 0.00117721 | -0.00353618 / 0.0035361 | -0.00721567 / 0.00721532 | -0.00201204 / 0.00201202 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00399902 / 0.00399892 | -0.0172793 / 0.0172773 | -0.00196004 / 0.00196002 | -0.00270951 / 0.00270946 | -0.00398105 / 0.00398094 | -0.00131089 / 0.00131088 | 0 / 0 |
 | JET_BJES_Response | 4.5982e-05 / -4.5982e-05 | -0.000303043 / 0.000303043 | -8.286e-06 / 8.286e-06 | -0.000470182 / 0.000470181 | 0.00323022 / -0.00323029 | -0.000539038 / 0.000539036 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00135547 / -0.00135549 | 0.000497132 / -0.000497133 | 0.000525282 / -0.000525284 | 0.000638829 / -0.000638832 | 0.00136555 / -0.00136556 | 0.000992611 / -0.000992617 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000285258 / -0.000285258 | 0.000217737 / -0.000217737 | 7.67273e-05 / -7.67274e-05 | 8.48935e-05 / -8.48936e-05 | 0.000307203 / -0.000307204 | 5.19296e-05 / -5.19297e-05 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.00940459 / -0.00940518 | 0.00687616 / -0.00687648 | 0.00521328 / -0.00521347 | 0.00839629 / -0.00839677 | 0.00728752 / -0.00728787 | 0.0102836 / -0.0102843 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.003922 / 0.00392189 | -0.00238068 / 0.00238064 | -0.00164558 / 0.00164556 | -0.00211272 / 0.00211269 | -0.00396252 / 0.00396242 | -0.00221082 / 0.00221078 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00189073 / -0.00189076 | 0.00150397 / -0.00150399 | 0.000987093 / -0.0009871 | 0.00128679 / -0.0012868 | 0.00175255 / -0.00175258 | 0.00150607 / -0.00150609 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00962323 / -0.00962389 | 0.00374705 / -0.00374715 | 0.00459257 / -0.00459272 | 0.00737821 / -0.0073786 | 0.00734886 / -0.00734924 | 0.00765704 / -0.00765746 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0.00664429 / -0.00664532 | 0.00706694 / -0.0070681 | 0.00370064 / -0.00370096 | 0.00578559 / -0.00578637 | 0.00489052 / -0.00489108 | 0.00733222 / -0.00733348 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -0.00022062 / 0.00022062 | -0.000919347 / 0.000919342 | -8.71001e-06 / 8.71001e-06 | 4.82666e-06 / -4.82666e-06 | -0.000461198 / 0.000461196 | 0.000143373 / -0.000143373 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0.00124995 / -0.00124996 | 0.000607336 / -0.000607338 | 0.000506452 / -0.000506453 | 0.000503304 / -0.000503306 | 0.00137874 / -0.00137875 | 0.000367155 / -0.000367156 | 0 / 0 |
