 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | 0.002233 / 0.002233 | -0.0838164 / -0.0838164 | 0.00744992 / 0.00744992 | -0.0093377 / -0.0093377 | 0.0974578 / 0.0974578 | 0.0244072 / 0.0244072 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00456904 / -0.00456904 | 0.00428745 / -0.00428745 | 0.00453315 / -0.00453315 | 0.00445649 / -0.00445649 | 0.0038535 / -0.0038535 | 0.00450168 / -0.00450168 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0211036 / -0.0211036 | 0.0204546 / -0.0204546 | 0.0209177 / -0.0209177 | 0.0205411 / -0.0205411 | 0.0203735 / -0.0203735 | 0.0204471 / -0.0204471 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0298307 / -0.0298307 | 0.0329558 / -0.0329558 | 0.0298007 / -0.0298007 | 0.0254786 / -0.0254786 | 0.0251369 / -0.0251369 | 0.0298902 / -0.0298902 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00287836 / -0.00287836 | 0.00294485 / -0.00294485 | 0.00245207 / -0.00245207 | 0.00197485 / -0.00197485 | 0.000986288 / -0.000986288 | 0.00271705 / -0.00271705 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.00291264 / -0.00291264 | 1.45277e-06 / -1.45277e-06 | -0.000356558 / 0.000356558 | -0.00404623 / 0.00404623 | 0.00661636 / -0.00661636 | -0.00922082 / 0.00922082 | 0 / 0 |
 | EG_SCALE_ALL | -0.00237658 / 0.00237658 | 0.00968902 / -0.00968902 | 0.00419527 / -0.00419527 | -0.000502779 / 0.000502779 | 0.0274366 / -0.0274366 | 0.0032233 / -0.0032233 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -3.07186e-05 / 3.07186e-05 | -0.0149061 / 0.0149061 | -0.00273231 / 0.00273231 | 0.00416388 / -0.00416388 | 0 / 0 | 0.00739414 / -0.00739414 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00148199 / 0.00148199 | -0.0102937 / 0.0102937 | -0.00260266 / 0.00260266 | 0.00235308 / -0.00235308 | 0 / 0 | 0.0113826 / -0.0113826 | 0 / 0 |
