 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 |
 | PRW | 0.00221871 / 0.00221871 | -0.0833033 / -0.0833036 | 0.00740211 / 0.00740213 | -0.00927826 / -0.00927829 | 0.0968053 / 0.0968056 | 0.0242492 / 0.0242493 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00453854 / -0.00453868 | 0.00425883 / -0.00425895 | 0.00450288 / -0.00450302 | 0.00442674 / -0.00442687 | 0.00382779 / -0.00382788 | 0.00447162 / -0.00447176 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0209524 / -0.0209556 | 0.0203081 / -0.0203111 | 0.0207679 / -0.020771 | 0.020394 / -0.020397 | 0.0202276 / -0.0202305 | 0.0203007 / -0.0203036 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0295727 / -0.0295802 | 0.0326704 / -0.0326796 | 0.029543 / -0.0295505 | 0.0252587 / -0.0252642 | 0.0249201 / -0.0249254 | 0.0296317 / -0.0296393 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00285916 / -0.00285922 | 0.0029252 / -0.00292526 | 0.00243572 / -0.00243576 | 0.00196168 / -0.00196171 | 0.000979715 / -0.000979722 | 0.00269892 / -0.00269897 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.00289323 / -0.00289329 | 1.4431e-06 / -1.4431e-06 | -0.000354186 / 0.000354185 | -0.00401936 / 0.00401925 | 0.00657219 / -0.00657248 | -0.00915974 / 0.00915918 | 0 / 0 |
 | EG_SCALE_ALL | -0.00235897 / 0.00235893 | 0.00961683 / -0.00961752 | 0.00416409 / -0.00416422 | -0.000499052 / 0.00049905 | 0.0272304 / -0.0272359 | 0.00319936 / -0.00319944 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -3.05122e-05 / 3.05122e-05 | -0.0148067 / 0.0148052 | -0.00271398 / 0.00271393 | 0.00413584 / -0.00413596 | 0 / 0 | 0.00734427 / -0.00734464 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00147204 / 0.00147202 | -0.0102249 / 0.0102242 | -0.00258521 / 0.00258516 | 0.00233726 / -0.0023373 | 0 / 0 | 0.0113057 / -0.0113066 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00342263 / 0.00342255 | -0.0118603 / 0.0118594 | -0.00228608 / 0.00228605 | -0.0114476 / 0.0114467 | 0 / 0 | -0.00861566 / 0.00861516 | 0 / 0 |
 | JET_BJES_Response | 0.000120429 / -0.000120429 | 0.00019172 / -0.00019172 | -9.03502e-05 / 9.03502e-05 | -0.00312067 / 0.00312061 | 0.0311014 / -0.0311081 | 0.00126127 / -0.00126128 | 0 / 0 |
