 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.382467 / -0.382467 | -0.00485641 / -0.00485641 | -0.00458628 / -0.00458628 | 0.00508854 / 0.00508854 | 0.110966 / 0.110966 | -0.0133066 / -0.0133066 | -1 / -1 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00576001 / -0.00576001 | 0.00670831 / -0.00670831 | 0.00670713 / -0.00670713 | 0.00562443 / -0.00562443 | 0.00581102 / -0.00581102 | 0.0068871 / -0.0068871 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.030964 / -0.030964 | 0.0362294 / -0.0362294 | 0.0363054 / -0.0363054 | 0.0367537 / -0.0367537 | 0.0341304 / -0.0341304 | 0.036141 / -0.036141 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0230211 / -0.0230211 | 0.034876 / -0.034876 | 0.0315292 / -0.0315292 | 0.0243781 / -0.0243781 | 0.022828 / -0.022828 | 0.0297487 / -0.0297487 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.000203319 / -0.000203319 | 0.000633476 / -0.000633476 | 0.000508221 / -0.000508221 | 0.00075384 / -0.00075384 | 0.000472946 / -0.000472946 | 0.000493125 / -0.000493125 | 0 / 0 |
 | EG_RESOLUTION_ALL | 2.43284e-06 / -2.43284e-06 | 6.1638e-05 / -6.1638e-05 | -0.000207459 / 0.000207459 | -0.00156607 / 0.00156607 | 0 / 0 | 0.00064827 / -0.00064827 | 0 / 0 |
 | EG_SCALE_ALL | 0.0034999 / -0.0034999 | 0.00832517 / -0.00832517 | 0.00382155 / -0.00382155 | 0.00767923 / -0.00767923 | 0.0233722 / -0.0233722 | 0.00386549 / -0.00386549 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 8.60052e-05 / -8.60052e-05 | 5.79227e-05 / -5.79227e-05 | 4.85032e-05 / -4.85032e-05 | 0.000246465 / -0.000246465 | 0.000746789 / -0.000746789 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000535866 / -0.000535866 | 0.000213245 / -0.000213245 | 0.000977504 / -0.000977504 | 0 / 0 | 0.000631851 / -0.000631851 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 8.40446e-05 / -8.40446e-05 | 6.04374e-05 / -6.04374e-05 | 0.000169579 / -0.000169579 | 0 / 0 | 0.000180566 / -0.000180566 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.00253914 / -0.00253914 | 0.00171307 / -0.00171307 | 0.00328559 / -0.00328559 | 0.0233722 / -0.0233722 | 0.00198905 / -0.00198905 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.00172449 / 0.00172449 | -0.000948639 / 0.000948639 | -0.00151767 / 0.00151767 | 0 / 0 | -0.00158775 / 0.00158775 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0.000375578 / -0.000375578 | 0.000254013 / -0.000254013 | 0.00113055 / -0.00113055 | 0 / 0 | 0.00016266 / -0.00016266 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.00419819 / 0.00419819 | 0.00439973 / -0.00439973 | 0.00233457 / -0.00233457 | 0.00408518 / -0.00408518 | 0.00575158 / -0.00575158 | 0.00484899 / -0.00484899 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0.00176228 / -0.00176228 | 0.00102586 / -0.00102586 | 0.00267584 / -0.00267584 | 0 / 0 | 0.0013413 / -0.0013413 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.000507818 / 0.000507818 | -0.000167283 / 0.000167283 | 0.000129351 / -0.000129351 | 0 / 0 | -0.000531544 / 0.000531544 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0.000502435 / -0.000502435 | 0.000254505 / -0.000254505 | 0.000980868 / -0.000980868 | 0 / 0 | 0.00048022 / -0.00048022 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0.00131506 / -0.00131506 | 0.000820467 / -0.000820467 | 0.00157109 / -0.00157109 | 0 / 0 | 0.00102303 / -0.00102303 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 1.8149e-05 / -1.8149e-05 | 2.96595e-06 / -2.96595e-06 | 0.00011046 / -0.00011046 | 0.000102358 / -0.000102358 | -7.92097e-05 / 7.92097e-05 | 0 / 0 |
