 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 |
 | PRW | -0.38056 / -0.380561 | -0.00482542 / -0.00482544 | -0.00455702 / -0.00455704 | 0.00505592 / 0.00505593 | 0.110219 / 0.110219 | -0.013222 / -0.0132221 | -1 / -1 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00572153 / -0.00572175 | 0.00666348 / -0.00666377 | 0.0066623 / -0.0066626 | 0.00558686 / -0.00558707 | 0.0057722 / -0.00577243 | 0.00684107 / -0.00684138 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0307412 / -0.030748 | 0.0359681 / -0.0359773 | 0.0360435 / -0.0360528 | 0.0364885 / -0.0364981 | 0.0338845 / -0.0338927 | 0.0358803 / -0.0358895 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0228227 / -0.0228272 | 0.0345737 / -0.034584 | 0.0312563 / -0.0312647 | 0.0241679 / -0.0241729 | 0.0226313 / -0.0226357 | 0.0294915 / -0.0294989 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.000201965 / -0.000201965 | 0.000629255 / -0.000629258 | 0.000504835 / -0.000504837 | 0.000748817 / -0.000748821 | 0.000469795 / -0.000469797 | 0.00048984 / -0.000489842 | 0 / 0 |
 | EG_RESOLUTION_ALL | 2.41665e-06 / -2.41665e-06 | 6.12278e-05 / -6.12278e-05 | -0.000206078 / 0.000206078 | -0.00155566 / 0.00155564 | 0 / 0 | 0.000643954 / -0.000643957 | 0 / 0 |
 | EG_SCALE_ALL | 0.0034739 / -0.00347399 | 0.00826317 / -0.00826368 | 0.00379316 / -0.00379326 | 0.00762207 / -0.0076225 | 0.0231969 / -0.0232009 | 0.00383677 / -0.00383688 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 8.54138e-05 / -8.54139e-05 | 5.75244e-05 / -5.75244e-05 | 4.81696e-05 / -4.81697e-05 | 0.00024477 / -0.00024477 | 0.000741652 / -0.000741655 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000532253 / -0.000532255 | 0.000211808 / -0.000211808 | 0.000970912 / -0.000970919 | 0 / 0 | 0.00062759 / -0.000627593 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 8.34855e-05 / -8.34855e-05 | 6.00353e-05 / -6.00353e-05 | 0.00016845 / -0.000168451 | 0 / 0 | 0.000179365 / -0.000179365 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.00252219 / -0.00252223 | 0.00170163 / -0.00170165 | 0.00326364 / -0.00326371 | 0.0232146 / -0.0232182 | 0.00197577 / -0.0019758 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.00171283 / 0.00171281 | -0.000942219 / 0.000942213 | -0.0015074 / 0.00150738 | 0 / 0 | -0.001577 / 0.00157699 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0.000373079 / -0.00037308 | 0.000252323 / -0.000252323 | 0.00112302 / -0.00112303 | 0 / 0 | 0.000161577 / -0.000161578 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0041687 / 0.00416857 | 0.00436869 / -0.00436883 | 0.00231812 / -0.00231816 | 0.00405636 / -0.00405648 | 0.00571098 / -0.00571122 | 0.00481478 / -0.00481495 | 0 / 0 |
