 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.375963 / -0.375963 | 0.00114453 / 0.00114453 | -0.00388303 / -0.00388303 | -0.0592337 / -0.0592337 | -0.283313 / -0.283313 | -0.0222845 / -0.0222845 | -1 / -1 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00586742 / -0.00586742 | 0.00752509 / -0.00752509 | 0.00721444 / -0.00721444 | 0.00644828 / -0.00644828 | 0.00504475 / -0.00504475 | 0.00724952 / -0.00724952 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0325133 / -0.0325133 | 0.0385541 / -0.0385541 | 0.0370874 / -0.0370874 | 0.036735 / -0.036735 | 0.0297612 / -0.0297612 | 0.0363891 / -0.0363891 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0362263 / -0.0362263 | 0.049069 / -0.049069 | 0.0450747 / -0.0450747 | 0.0401633 / -0.0401633 | 0.0322471 / -0.0322471 | 0.0449298 / -0.0449298 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00015847 / -0.00015847 | 0.000840992 / -0.000840992 | 0.000709842 / -0.000709842 | 0.00469827 / -0.00469827 | 0 / 0 | 0.000553372 / -0.000553372 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.109169 / -0.109169 | 8.99344e-05 / -8.99344e-05 | 0.000286389 / -0.000286389 | 0.0221587 / -0.0221587 | 0 / 0 | 0.00611984 / -0.00611984 | 0 / 0 |
 | EG_SCALE_ALL | 0 / 0 | 0.0132646 / -0.0132646 | 0.00627186 / -0.00627186 | 0.00282768 / -0.00282768 | 0 / 0 | 0.0158511 / -0.0158511 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 3.0965e-05 / -3.0965e-05 | 1.60199e-05 / -1.60199e-05 | 3.6189e-06 / -3.6189e-06 | 0 / 0 | 0.00290093 / -0.00290093 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000544113 / -0.000544113 | 0.000212979 / -0.000212979 | 0 / 0 | 0 / 0 | 0.00189504 / -0.00189504 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0.000200511 / -0.000200511 | 9.17058e-05 / -9.17058e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.0041784 / -0.0041784 | 0.00395106 / -0.00395106 | 0 / 0 | 0 / 0 | 0.0134334 / -0.0134334 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.00156245 / 0.00156245 | 5.41199e-06 / -5.41199e-06 | 0 / 0 | 0 / 0 | -0.00268931 / 0.00268931 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0.000714525 / -0.000714525 | 0.000392711 / -0.000392711 | 0 / 0 | 0 / 0 | 0.0058848 / -0.0058848 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00282302 / -0.00282302 | 0.00468597 / -0.00468597 | 0.00191059 / -0.00191059 | 0.00974051 / -0.00974051 | 0 / 0 | 0.0125162 / -0.0125162 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0.00320998 / -0.00320998 | 0.00282588 / -0.00282588 | 0 / 0 | 0 / 0 | 0.00673665 / -0.00673665 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.000135102 / 0.000135102 | 0.000117792 / -0.000117792 | 0 / 0 | 0 / 0 | -4.72238e-05 / 4.72238e-05 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0.000573982 / -0.000573982 | 0.000178531 / -0.000178531 | 0 / 0 | 0 / 0 | 0.00190553 / -0.00190553 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0.00208961 / -0.00208961 | 0.00190281 / -0.00190281 | 0 / 0 | 0 / 0 | 0.00668601 / -0.00668601 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0.000103403 / -0.000103403 | 8.10078e-05 / -8.10078e-05 | 0 / 0 | 0 / 0 | 5.04163e-05 / -5.04163e-05 | 0 / 0 |
