 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 | 0.0188434 / -0.0188463 |
 | PRW | -0.374078 / -0.374079 | 0.00113721 / 0.00113721 | -0.00385824 / -0.00385825 | -0.0588663 / -0.0588665 | -0.281785 / -0.281786 | -0.0221436 / -0.0221437 | -1 / -1 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00582822 / -0.00582845 | 0.00747477 / -0.00747515 | 0.00716621 / -0.00716656 | 0.00640519 / -0.00640547 | 0.00501106 / -0.00501123 | 0.00720106 / -0.0072014 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0322792 / -0.0322866 | 0.0382756 / -0.0382861 | 0.0368197 / -0.0368294 | 0.0364699 / -0.0364794 | 0.0295472 / -0.0295534 | 0.0361266 / -0.0361359 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0359121 / -0.0359231 | 0.0486408 / -0.0486612 | 0.0446821 / -0.0446993 | 0.0398143 / -0.0398279 | 0.0319679 / -0.0319767 | 0.0445385 / -0.0445556 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.000157415 / -0.000157415 | 0.000835388 / -0.000835393 | 0.000705112 / -0.000705116 | 0.0046669 / -0.00466705 | 0 / 0 | 0.000549685 / -0.000549687 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.108404 / -0.108483 | 8.93359e-05 / -8.9336e-05 | 0.000284483 / -0.000284483 | 0.0220096 / -0.0220129 | 0 / 0 | 0.006079 / -0.00607924 | 0 / 0 |
 | EG_SCALE_ALL | 0 / 0 | 0.0131656 / -0.0131669 | 0.00622521 / -0.0062255 | 0.00280668 / -0.00280674 | 0 / 0 | 0.0157326 / -0.0157344 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 3.07521e-05 / -3.07521e-05 | 1.59098e-05 / -1.59098e-05 | 3.59401e-06 / -3.59401e-06 | 0 / 0 | 0.00288095 / -0.00288101 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000540444 / -0.000540446 | 0.000211543 / -0.000211543 | 0 / 0 | 0 / 0 | 0.00188226 / -0.00188228 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0.000199177 / -0.000199178 | 9.10957e-05 / -9.10958e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.00415048 / -0.0041506 | 0.00392466 / -0.00392477 | 0 / 0 | 0 / 0 | 0.0133432 / -0.0133444 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.00155188 / 0.00155186 | 5.37535e-06 / -5.37535e-06 | 0 / 0 | 0 / 0 | -0.00267113 / 0.00267108 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0.000709769 / -0.000709772 | 0.000390097 / -0.000390098 | 0 / 0 | 0 / 0 | 0.00584553 / -0.00584576 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00280312 / -0.00280317 | 0.00465291 / -0.00465307 | 0.00189713 / -0.00189716 | 0.00967162 / -0.00967228 | 0 / 0 | 0.0124276 / -0.0124287 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0.00313669 / -0.00313692 | 0.00276137 / -0.00276155 | 0 / 0 | 0 / 0 | 0.00658257 / -0.00658358 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.000134203 / 0.000134202 | 0.000117008 / -0.000117008 | 0 / 0 | 0 / 0 | -4.69096e-05 / 4.69096e-05 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0.000570162 / -0.000570164 | 0.000177343 / -0.000177344 | 0 / 0 | 0 / 0 | 0.00189284 / -0.00189287 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0.00206131 / -0.00206137 | 0.00187705 / -0.00187709 | 0 / 0 | 0 / 0 | 0.00659526 / -0.00659585 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0.000102715 / -0.000102715 | 8.04687e-05 / -8.04687e-05 | 0 / 0 | 0 / 0 | 5.00808e-05 / -5.00808e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | -0.000993223 / 0.000993216 | -0.000203121 / 0.000203121 | 0 / 0 | 0 / 0 | -0.00585328 / 0.00585303 | 0 / 0 |
