 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 |
 | PRW | -0.00537038 / -0.00537037 | 0.0371002 / 0.0371001 | -0.00610122 / -0.00610121 | -0.024279 / -0.024279 | -0.122485 / -0.122485 | 0.00427751 / 0.0042775 | -0.202776 / -0.202776 | -0.174409 / -0.174409 |
 | MUON EFF ISO STAT | 0.00376393 / -0.003764 | 0.00386556 / -0.00386573 | 0.00373282 / -0.00373293 | 0.00402018 / -0.00402028 | 0.00381091 / -0.00381096 | 0.00389949 / -0.00389962 | 0.0014404 / -0.00144036 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00440345 / -0.00440362 | 0.00422257 / -0.00422268 | 0.00439882 / -0.00439897 | 0.00407582 / -0.00407592 | 0.00309194 / -0.00309208 | 0.00421697 / -0.00421712 | 0.0019788 / -0.00197877 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000540318 / -0.000540358 | 0.000602812 / -0.000602802 | 0.000647761 / -0.000647674 | 0.000610355 / -0.000610413 | 0.000226093 / -0.00022611 | 0.000814935 / -0.000814968 | 0.000349213 / -0.000349242 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000397682 / 0.000397642 | -0.000522189 / 0.000522199 | -0.000568507 / 0.000568595 | -0.000508817 / 0.000508825 | -0.000404929 / 0.000404971 | -0.000416423 / 0.000416393 | -0.000290534 / 0.00029059 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00134734 / -0.00134732 | 0.00115599 / -0.00115598 | 0.00136643 / -0.00136646 | 0.00115571 / -0.00115571 | -0.0004182 / 0.000418182 | 0.000927988 / -0.000927963 | 0.000891585 / -0.000891618 | 0 / 0 |
 | MUON EFF Trig Stat | -1.9214e-08 / -1.9214e-08 | -3.67573e-08 / -3.67573e-08 | 4.48472e-08 / 4.48472e-08 | 4.80236e-09 / 4.80236e-09 | -8.1922e-09 / -8.1922e-09 | 1.5101e-08 / 1.5101e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0265644 / -0.0265699 | 0.0268826 / -0.0268882 | 0.0269843 / -0.02699 | 0.0293149 / -0.0293215 | 0.025423 / -0.0254281 | 0.0294678 / -0.0294746 | 0.0102544 / -0.0102552 | 0 / 0 |
 | MUON SCALE | 3.57187e-05 / -3.57571e-05 | -0.0015323 / 0.0015323 | 0 / 0 | -0.000727041 / 0.000726982 | -8.19219e-09 / -8.1922e-09 | 1.5101e-08 / 1.5101e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | MUON CB | -0.00456217 / 0.00454534 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0114202 / -0.011527 | 0.0101565 / -0.0102409 | 0.0412445 / -0.0426714 | 0 / 0 |
 | MUON SAGITTA DATASTAT | -0.000467498 / 0.000467495 | 0 / 0 | 0 / 0 | 0 / 0 | -0.034283 / 0.0342646 | 1.67542e-05 / -1.67536e-05 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | -0.000438578 / 0.000438538 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0676305 / -0.0676663 | 0.0631248 / -0.063156 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | -0.00483932 / 0.00483601 | 0 / 0 | 0 / 0 | 0 / 0 | 0.028974 / -0.0250854 | 0.00769606 / -0.00770453 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 8.95666e-05 / -8.95362e-05 | -0.000245725 / 0.000245736 | 5.77597e-07 / -5.94453e-07 | 0.000210258 / -0.000210249 | 9.98887e-05 / -9.99052e-05 | 1.5101e-08 / 1.5101e-08 | -0.00778261 / 0.00778218 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | -2.5359e-05 / 2.53894e-05 | -0.000161945 / 0.000161957 | 0 / 0 | 0.000728914 / -0.000728908 | -8.19206e-09 / -8.19206e-09 | 1.51008e-08 / 1.51008e-08 | -1.40263e-08 / -1.40263e-08 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | -3.80647e-06 / 3.76804e-06 | -7.706e-05 / 7.70719e-05 | -1.02065e-06 / 1.0038e-06 | 0.000222116 / -0.000222106 | -8.19219e-09 / -8.19219e-09 | 1.5101e-08 / 1.5101e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | -0.000420771 / 0.0004208 | 0 / 0 | 0 / 0 | 0.00285724 / -0.00285733 | 0.00703808 / -0.00703862 | -8.41597e-06 / 8.38706e-06 | -0.0108218 / 0.0108204 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -5.78544e-05 / 5.7816e-05 | -0.000176803 / 0.000176814 | 0 / 0 | -7.21019e-05 / 7.21114e-05 | -8.19127e-09 / -8.19127e-09 | 1.50993e-08 / 1.50993e-08 | -1.40249e-08 / -1.40249e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | -2.86646e-05 / 2.86262e-05 | 0.00150717 / -0.00150725 | 0.00259888 / -0.00259884 | 0.000887085 / -0.000887081 | -8.19219e-09 / -8.1922e-09 | 1.5101e-08 / 1.5101e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.000318737 / 0.000318698 | -0.000102095 / 0.000102106 | 0 / 0 | 0.00114437 / -0.00114437 | -0.055845 / 0.055821 | 1.50865e-08 / 1.50865e-08 | -0.00389301 / 0.00389295 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | -0.000188182 / 0.000188144 | 0.0060609 / -0.00606127 | 0 / 0 | 0.00250381 / -0.00250385 | 0.00706527 / -0.0070657 | 1.50766e-08 / 1.50766e-08 | -0.00662312 / 0.00662281 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -6.18544e-05 / 6.1816e-05 | 0.000167174 / -0.000167162 | 0 / 0 | 0.000699766 / -0.000699759 | -8.19215e-09 / -8.19215e-09 | 1.5101e-08 / 1.5101e-08 | -1.40264e-08 / -1.40265e-08 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | -2.54967e-05 / 2.54583e-05 | -0.00018836 / 0.000188372 | 0 / 0 | 0.00072723 / -0.000727224 | -8.19207e-09 / -8.19207e-09 | 1.51008e-08 / 1.51008e-08 | -1.40263e-08 / -1.40263e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | -0.000124711 / 0.000124672 | 0.000732505 / -0.000732582 | 0 / 0 | 0.00261522 / -0.00261526 | 0.00707602 / -0.00707638 | 1.50995e-08 / 1.50995e-08 | -1.40251e-08 / -1.40251e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 2.71113e-05 / -2.71497e-05 | -0.000106809 / 0.000106821 | -1.86014e-05 / 1.85845e-05 | -0.000152129 / 0.000152139 | -8.19218e-09 / -8.19218e-09 | 1.5101e-08 / 1.5101e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -2.65286e-05 / 2.6559e-05 | 4.23622e-05 / -4.23503e-05 | 0 / 0 | 0.000274065 / -0.000274056 | -8.19176e-09 / -8.19176e-09 | 1.51002e-08 / 1.51002e-08 | -1.40258e-08 / -1.40258e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -1.85423e-05 / 1.85728e-05 | -0.00016323 / 0.000163157 | -0.000308737 / 0.00030872 | -0.000124593 / 0.000124602 | -8.1922e-09 / -8.1922e-09 | 1.51011e-08 / 1.51011e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -1.37222e-05 / 1.36838e-05 | -0.000219908 / 0.00021992 | -1.46591e-05 / 1.46422e-05 | 0.000724909 / -0.000724968 | -8.1922e-09 / -8.1922e-09 | 1.51011e-08 / 1.5101e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | -1.88177e-05 / 1.88482e-05 | 5.49308e-05 / -5.49189e-05 | 0 / 0 | 0.00067074 / -0.000670734 | -8.19218e-09 / -8.19218e-09 | 1.5101e-08 / 1.5101e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | -4.51088e-05 / 4.50703e-05 | 0.00609271 / -0.00609296 | 0 / 0 | 0.0043641 / -0.00436422 | 9.98595e-05 / -9.98759e-05 | 1.50966e-08 / 1.50966e-08 | -0.000241652 / 0.000241624 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | -0.000587596 / 0.000587606 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0299682 / -0.0300195 | 1.43711e-08 / 1.43706e-08 | 0.107533 / -0.108198 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | -1.17252e-05 / 1.17556e-05 | 0 / 0 | 0 / 0 | 0.000599985 / -0.000599978 | -8.19215e-09 / -8.19215e-09 | 1.5101e-08 / 1.5101e-08 | 1.16012e-06 / -1.18818e-06 | 0 / 0 |
 | JET_Flavor_Composition | -0.00133268 / 0.0013327 | 0.00309472 / -0.00309479 | 0 / 0 | 0.00397359 / -0.00397371 | -0.0576409 / 0.0576139 | -0.00040009 / 0.000400118 | -0.0254132 / 0.0254079 | 0 / 0 |
 | JET_Flavor_Response | 0.000392868 / -0.000392909 | 0.00464954 / -0.00464981 | 0 / 0 | 0.000737383 / -0.000737445 | 0.0624167 / -0.0624672 | 0.000398225 / -0.000398197 | 0.0044052 / -0.00440548 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0.00078031 / -0.000780308 | 0 / 0 | 0 / 0 | -0.0240484 / 0.0240223 | -0.103685 / 0.1032 | -0.000377732 / 0.000377698 | -0.05935 / 0.0591911 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 2.87271e-06 / -2.84228e-06 | 0.00116251 / -0.00116259 | -0.00143437 / 0.00143433 | -0.000557899 / 0.000557907 | -8.9946e-05 / 8.99888e-05 | -0.000144379 / 0.000144409 | 0.00461057 / -0.00461074 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.000421869 / 0.000421868 | 0 / 0 | -0.0044996 / 0.00449944 | -0.00694071 / 0.00694034 | -0.246085 / 0.245608 | 0.000817354 / -0.000817358 | -0.0489358 / 0.0489171 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -5.36476e-05 / 5.3678e-05 | 0.00441241 / -0.00441253 | 0 / 0 | 2.18996e-05 / -2.189e-05 | 0.0487258 / -0.0487423 | -8.4562e-06 / 8.42715e-06 | -0.00302797 / 0.00302796 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000421293 / -0.000421294 | 0 / 0 | 0.00767126 / -0.00767171 | 0.0079476 / -0.00794809 | 0.245454 / -0.245924 | -0.000817444 / 0.000817439 | 0.040284 / -0.0402965 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000452307 / 0.000452336 | -0.0094323 / 0.00943166 | 0 / 0 | 0.000604506 / -0.000604564 | -0.0433963 / 0.0433826 | -0.00438161 / 0.0043815 | 0.0186813 / -0.0186838 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | -0.000199339 / 0.0001993 | -0.000848983 / 0.000848989 | 0 / 0 | 0.00173112 / -0.00173114 | -0.0558522 / 0.0558286 | 1.50885e-08 / 1.50885e-08 | -0.00313236 / 0.00313226 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.00062307 / 0.000623098 | -0.00532284 / 0.00532265 | -0.00223537 / 0.00223532 | 0.000864594 / -0.00086459 | -0.0562234 / 0.0562005 | -0.000400448 / 0.000400477 | -0.00323866 / 0.00323864 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.010256 / -0.0102568 | 0.0162611 / -0.016263 | 0.0195657 / -0.0195685 | 0.0216528 / -0.0216561 | 0.0254967 / -0.0255013 | 0.0130123 / -0.0130135 | 0.0161081 / -0.01611 | 0 / 0 |
 | JET_Pileup_OffsetMu | -0.000421166 / 0.000421127 | -0.00290472 / 0.00290467 | 0 / 0 | 0.00095885 / -0.000958847 | -0.058848 / 0.0588213 | -0.000400273 / 0.000400301 | -0.00376101 / 0.00376096 | 0 / 0 |
 | JET_Pileup_OffsetNPV | -0.00153713 / 0.00153714 | 0.0034508 / -0.00345087 | 0 / 0 | 0.00129586 / -0.00129586 | -0.0596163 / 0.0595901 | -0.000407091 / 0.000407061 | -0.0265355 / 0.0265303 | 0 / 0 |
 | JET_Pileup_PtTerm | -2.69356e-05 / 2.6966e-05 | 0.00756807 / -0.00756845 | 0 / 0 | 0.0051152 / -0.00511537 | 0.0875777 / -0.0876313 | 8.42683e-06 / -8.45587e-06 | 0.00253066 / -0.00253064 | 0 / 0 |
 | JET_Pileup_RhoTopology | -0.00131084 / 0.00131079 | -0.0047549 / 0.00475473 | 0 / 0 | 0.00246687 / -0.00246691 | -0.0577897 / 0.0577633 | -0.000400182 / 0.000400211 | -0.0119868 / 0.0119857 | 0 / 0 |
 | JET_SingleParticle_HighPt | -0.0015673 / 0.00156653 | 0.000289793 / -0.000289812 | 0.000301059 / -0.0003011 | -0.000601932 / 0.000601777 | -5.75056e-09 / -5.75055e-09 | 1.06003e-08 / 1.06002e-08 | -9.846e-09 / -9.84598e-09 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.208504 / 0.208376 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | 0 / 0 | -0.20225 / 0.202251 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
