 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.00273533 / -0.00273533 | 0.00474202 / 0.00474202 | 0.000444465 / 0.000444465 | -0.00274959 / -0.00274959 | 0.000807067 / 0.000807067 | 0.00805033 / 0.00805033 | 0.0422665 / 0.0422665 |
 | MUON EFF ISO STAT | 0.0039126 / -0.0039126 | 0.00370766 / -0.00370766 | 0.00385224 / -0.00385224 | 0.00387266 / -0.00387266 | 0.00372363 / -0.00372363 | 0.00378298 / -0.00378298 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00431435 / -0.00431435 | 0.00450356 / -0.00450356 | 0.00437153 / -0.00437153 | 0.00435438 / -0.00435438 | 0.00449575 / -0.00449575 | 0.00443619 / -0.00443619 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000570406 / -0.000570406 | 0.00062364 / -0.00062364 | 0.000562976 / -0.000562976 | 0.000566865 / -0.000566865 | 0.00056913 / -0.00056913 | 0.000573104 / -0.000573104 | 0 / 0 |
 | MUON EFF RECO SYS | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.00052439 / 0.00052439 | -0.000547344 / 0.000547344 | -0.000489203 / 0.000489203 | -0.000477218 / 0.000477218 | -0.000452437 / 0.000452437 | -0.000465126 / 0.000465126 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00130616 / -0.00130616 | 0.00137082 / -0.00137082 | 0.00130534 / -0.00130534 | 0.00132813 / -0.00132813 | 0.00139573 / -0.00139573 | 0.00130423 / -0.00130423 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0302744 / -0.0302744 | 0.0324543 / -0.0324543 | 0.0286839 / -0.0286839 | 0.0281026 / -0.0281026 | 0.0268936 / -0.0268936 | 0.0273286 / -0.0273286 | 0 / 0 |
 | MUON SCALE | -0.000837143 / 0.000837143 | -0.000565138 / 0.000565138 | -0.00031524 / 0.00031524 | -0.000900894 / 0.000900894 | -0.000126757 / 0.000126757 | 0.000618877 / -0.000618877 | 0 / 0 |
 | MUON CB | 0.0166919 / -0.0166919 | 0.0373157 / -0.0373157 | 0.00625268 / -0.00625268 | 0.00330127 / -0.00330127 | 0.0108122 / -0.0108122 | 0.0121432 / -0.0121432 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0.00020938 / -0.00020938 | 0 / 0 | -0.000190271 / 0.000190271 | -0.000175045 / 0.000175045 | -0.00120283 / 0.00120283 | 0 / 0 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -0.00335231 / 0.00335231 | -0.00891101 / 0.00891101 | -0.00034405 / 0.00034405 | -0.00285099 / 0.00285099 | -0.00354686 / 0.00354686 | -0.00409086 / 0.00409086 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00372639 / 0.00372639 | -0.00996558 / 0.00996558 | -0.00159753 / 0.00159753 | -0.00272508 / 0.00272508 | -0.00412722 / 0.00412722 | 0.00197478 / -0.00197478 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00448648 / 0.00448648 | -0.0107649 / 0.0107649 | -0.00196535 / 0.00196535 | -0.00302906 / 0.00302906 | -0.00453236 / 0.00453236 | -0.00262675 / 0.00262675 | 0 / 0 |
 | JET_BJES_Response | -6.20583e-05 / 6.20583e-05 | 3.54662e-05 / -3.54662e-05 | -6.58001e-07 / 6.58001e-07 | -0.000452302 / 0.000452302 | 0.00465436 / -0.00465436 | 0.00206996 / -0.00206996 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00131044 / -0.00131044 | 0.00138368 / -0.00138368 | 0.000554494 / -0.000554494 | 0.000626183 / -0.000626183 | 0.000624409 / -0.000624409 | 0.000318156 / -0.000318156 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000239907 / -0.000239907 | 8.87479e-05 / -8.87479e-05 | 6.56741e-05 / -6.56741e-05 | 0.000106714 / -0.000106714 | -3.99726e-06 / 3.99726e-06 | -0.000414315 / 0.000414315 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.00753862 / -0.00753862 | 0.00820842 / -0.00820842 | 0.0047296 / -0.0047296 | 0.00786657 / -0.00786657 | 0.00917601 / -0.00917601 | 0.00476764 / -0.00476764 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.00366414 / 0.00366414 | -0.00431205 / 0.00431205 | -0.00190504 / 0.00190504 | -0.00176474 / 0.00176474 | -0.00352108 / 0.00352108 | -0.00188181 / 0.00188181 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00128903 / -0.00128903 | 0.00139069 / -0.00139069 | 0.000765978 / -0.000765978 | 0.000850057 / -0.000850057 | 0.000837486 / -0.000837486 | 0.00124 / -0.00124 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00793279 / -0.00793279 | 0.00756489 / -0.00756489 | 0.00386929 / -0.00386929 | 0.0048081 / -0.0048081 | 0.00765631 / -0.00765631 | 0.00740333 / -0.00740333 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0.00526196 / -0.00526196 | 0.00546284 / -0.00546284 | 0.00369104 / -0.00369104 | 0.00502338 / -0.00502338 | 0.0063404 / -0.0063404 | 0.00509153 / -0.00509153 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -0.000532208 / 0.000532208 | -0.000536538 / 0.000536538 | -0.000220931 / 0.000220931 | -0.000500865 / 0.000500865 | -0.000766971 / 0.000766971 | 0.000324367 / -0.000324367 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0.00119392 / -0.00119392 | 0.00123223 / -0.00123223 | 0.000617052 / -0.000617052 | 0.000886043 / -0.000886043 | 0.000661804 / -0.000661804 | 0.00035651 / -0.00035651 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.00406545 / -0.00406545 | 0.00410674 / -0.00410674 | 0.00272678 / -0.00272678 | 0.00349179 / -0.00349179 | 0.0049873 / -0.0049873 | 0.0035304 / -0.0035304 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0.000170081 / -0.000170081 | -0.000215476 / 0.000215476 | 2.06902e-05 / -2.06902e-05 | 0.000505181 / -0.000505181 | 0.000413249 / -0.000413249 | -0.000540511 / 0.000540511 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.00231616 / 0.00231616 | -0.00250641 / 0.00250641 | -0.00156294 / 0.00156294 | -0.00141882 / 0.00141882 | -0.00261468 / 0.00261468 | -0.00127565 / 0.00127565 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.000148902 / 0.000148902 | -0.000174769 / 0.000174769 | -0.000213387 / 0.000213387 | -0.000105659 / 0.000105659 | -0.000445948 / 0.000445948 | 1.87072e-05 / -1.87072e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -4.22186e-05 / 4.22186e-05 | 7.88134e-05 / -7.88134e-05 | -0.000100972 / 0.000100972 | -4.28224e-05 / 4.28224e-05 | -0.000303728 / 0.000303728 | -0.00010409 / 0.00010409 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000636255 / -0.000636255 | 0.000674539 / -0.000674539 | 0.000317377 / -0.000317377 | 0.000256409 / -0.000256409 | 0.000602584 / -0.000602584 | -8.84045e-05 / 8.84045e-05 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.00977438 / -0.00977438 | 0.00858502 / -0.00858502 | 0.00474607 / -0.00474607 | 0.00831149 / -0.00831149 | 0.011836 / -0.011836 | 0.00773566 / -0.00773566 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0554633 / -0.0554633 | 0.0547472 / -0.0547472 | 0.0281554 / -0.0281554 | 0.058246 / -0.058246 | 0.0544674 / -0.0544674 | 0.0441257 / -0.0441257 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.000938823 / -0.000938823 | 0.00115456 / -0.00115456 | 0.000594193 / -0.000594193 | -2.94959e-06 / 2.94959e-06 | 0.00130486 / -0.00130486 | -8.56797e-05 / 8.56797e-05 | 0 / 0 |
 | JET_Flavor_Composition | 0.0132267 / -0.0132267 | 0.0135413 / -0.0135413 | 0.00435263 / -0.00435263 | 0.0065846 / -0.0065846 | 0.00873691 / -0.00873691 | 0.0080796 / -0.0080796 | 0 / 0 |
 | JET_Flavor_Response | -0.0157738 / 0.0157738 | -0.0158112 / 0.0158112 | -0.00653809 / 0.00653809 | -0.00670943 / 0.00670943 | -0.00820811 / 0.00820811 | -0.00641954 / 0.00641954 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0637971 / 0.0637971 | -0.0643753 / 0.0643753 | -0.037165 / 0.037165 | -0.0663473 / 0.0663473 | -0.0632062 / 0.0632062 | -0.0501246 / 0.0501246 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00162073 / 0.00162073 | -0.00608252 / 0.00608252 | -0.00293384 / 0.00293384 | -0.00118274 / 0.00118274 | 0.00323934 / -0.00323934 | -0.00402591 / 0.00402591 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.00178482 / 0.00178482 | 9.77215e-05 / -9.77215e-05 | -0.000579592 / 0.000579592 | 0.00182516 / -0.00182516 | -0.000451034 / 0.000451034 | -0.000289327 / 0.000289327 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | 2.97013e-05 / -2.97013e-05 | 0.00081674 / -0.00081674 | 0.000242655 / -0.000242655 | -0.000145963 / 0.000145963 | 0.00563959 / -0.00563959 | 0.000907444 / -0.000907444 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.00238124 / -0.00238124 | 0.0023767 / -0.0023767 | 0.00201379 / -0.00201379 | -0.00179133 / 0.00179133 | 0.00165814 / -0.00165814 | 0.00442116 / -0.00442116 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00155934 / 0.00155934 | -0.00332429 / 0.00332429 | 0.000168864 / -0.000168864 | 0.000218945 / -0.000218945 | 0.00478189 / -0.00478189 | 0.0024392 / -0.0024392 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00658064 / -0.00658064 | 0.00601197 / -0.00601197 | 0.00307752 / -0.00307752 | 0.0043557 / -0.0043557 | 0.00821932 / -0.00821932 | 0.00745614 / -0.00745614 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00128155 / -0.00128155 | 0.000572185 / -0.000572185 | 1.81636e-05 / -1.81636e-05 | -0.00216036 / 0.00216036 | 0.00310572 / -0.00310572 | -0.000803007 / 0.000803007 | 0 / 0 |
