 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 |
 | PRW | -0.00271652 / -0.00271652 | 0.0047093 / 0.00470929 | 0.000441405 / 0.000441404 | -0.00273068 / -0.00273068 | 0.000801508 / 0.000801507 | 0.00799469 / 0.00799468 | 0.0419695 / 0.0419694 |
 | MUON EFF ISO STAT | 0.00388647 / -0.00388657 | 0.0036829 / -0.00368299 | 0.00382651 / -0.00382661 | 0.0038468 / -0.0038469 | 0.00369876 / -0.00369885 | 0.00375771 / -0.00375781 | 0 / 0 |
 | MUON EFF ISO SYS | 0.0042853 / -0.00428542 | 0.00447324 / -0.00447338 | 0.0043421 / -0.00434223 | 0.00432507 / -0.00432519 | 0.00446548 / -0.00446562 | 0.00440633 / -0.00440646 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000566609 / -0.000566612 | 0.00061949 / -0.000619492 | 0.000559229 / -0.000559232 | 0.000563093 / -0.000563095 | 0.000565342 / -0.000565344 | 0.00056929 / -0.000569292 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000520902 / 0.0005209 | -0.000543703 / 0.000543701 | -0.000485949 / 0.000485947 | -0.000474043 / 0.000474042 | -0.000449427 / 0.000449426 | -0.000462033 / 0.000462031 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00129746 / -0.00129748 | 0.00136169 / -0.0013617 | 0.00129664 / -0.00129665 | 0.00131929 / -0.0013193 | 0.00138644 / -0.00138645 | 0.00129554 / -0.00129556 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | 0.030038 / -0.030045 | 0.0322006 / -0.0322086 | 0.02846 / -0.0284663 | 0.0278834 / -0.0278894 | 0.026684 / -0.0266895 | 0.0271155 / -0.0271212 | 0 / 0 |
 | MUON SCALE | -0.000831576 / 0.000831571 | -0.000561379 / 0.000561377 | -0.000313143 / 0.000313143 | -0.000894902 / 0.000894897 | -0.000125914 / 0.000125914 | 0.000614758 / -0.00061476 | 0 / 0 |
 | MUON CB | 0.00378651 / -0.00379818 | 0.0084501 / -0.00850844 | 0.00141972 / -0.00142136 | 0.000749781 / -0.000750238 | 0.00245398 / -0.00245888 | 0.00275576 / -0.00276194 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0.000206162 / -0.000206162 | 0 / 0 | -0.000187346 / 0.000187346 | -0.000172355 / 0.000172355 | -0.00118435 / 0.00118433 | 0 / 0 | 0 / 0 |
