 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.0120929 / -0.0120929 | 0.00574822 / 0.00574822 | -0.00824658 / -0.00824658 | 0.00285895 / 0.00285895 | 0.147187 / 0.147187 | 0.0475852 / 0.0475852 | 0.292948 / 0.292948 |
 | MUON EFF ISO STAT | 0.00390218 / -0.00390218 | 0.00373661 / -0.00373661 | 0.00396688 / -0.00396688 | 0.00412365 / -0.00412365 | 0.0034503 / -0.0034503 | 0.00430352 / -0.00430352 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00432055 / -0.00432055 | 0.00447971 / -0.00447971 | 0.0042665 / -0.0042665 | 0.00411951 / -0.00411951 | 0.00474773 / -0.00474773 | 0.00391978 / -0.00391978 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000563592 / -0.000563592 | 0.000725348 / -0.000725348 | 0.000564505 / -0.000564505 | 0.000542247 / -0.000542247 | 0.000467363 / -0.000467363 | 0.000618212 / -0.000618212 | 0 / 0 |
 | MUON EFF RECO SYS | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000539725 / 0.000539725 | -0.000574962 / 0.000574962 | -0.000502856 / 0.000502856 | -0.000515493 / 0.000515493 | -0.000435062 / 0.000435062 | -0.000486723 / 0.000486723 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00127058 / -0.00127058 | 0.00160954 / -0.00160954 | 0.00126457 / -0.00126457 | 0.00110755 / -0.00110755 | 0.0012042 / -0.0012042 | 0.00108951 / -0.00108951 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0265125 / -0.0265125 | 0.0289326 / -0.0289326 | 0.0289019 / -0.0289019 | 0.0264083 / -0.0264083 | 0.0260129 / -0.0260129 | 0.0319812 / -0.0319812 | 0 / 0 |
 | MUON SCALE | 0.000925404 / -0.000925404 | -0.000275753 / 0.000275753 | 7.4951e-05 / -7.4951e-05 | 0.000137733 / -0.000137733 | 0 / 0 | 0.00551171 / -0.00551171 | 0 / 0 |
 | MUON CB | 0.0665834 / -0.0665834 | 0.17626 / -0.17626 | 0.0226093 / -0.0226093 | -0.0060178 / 0.0060178 | -0.0169412 / 0.0169412 | 0.128657 / -0.128657 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0.0063763 / -0.0063763 | 0 / 0 | 0.000367538 / -0.000367538 | 0.00207641 / -0.00207641 | -0.0266758 / 0.0266758 | 0 / 0 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | 0.00126064 / -0.00126064 | 0.000136304 / -0.000136304 | -0.00291528 / 0.00291528 | -0.020545 / 0.020545 | 0 / 0 | 0.0164032 / -0.0164032 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00345814 / 0.00345814 | -0.00241559 / 0.00241559 | -0.00878893 / 0.00878893 | -0.018061 / 0.018061 | 0 / 0 | 0.0124244 / -0.0124244 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00124228 / 0.00124228 | -0.00802292 / 0.00802292 | -0.00335954 / 0.00335954 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0.00054147 / -0.00054147 | -0.0008577 / 0.0008577 | -0.000290237 / 0.000290237 | 0.000681699 / -0.000681699 | 0.0399533 / -0.0399533 | -0.002027 / 0.002027 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.000744098 / -0.000744098 | 0.00017666 / -0.00017666 | 0.000597349 / -0.000597349 | -0.000195658 / 0.000195658 | 0.000216224 / -0.000216224 | 2.60226e-05 / -2.60226e-05 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000709523 / -0.000709523 | -0.000331094 / 0.000331094 | 9.44079e-06 / -9.44079e-06 | 2.02704e-06 / -2.02704e-06 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.016219 / -0.016219 | 0.0179992 / -0.0179992 | 0.0107783 / -0.0107783 | 0.025594 / -0.025594 | 0.028529 / -0.028529 | 0.00318592 / -0.00318592 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.00015604 / 0.00015604 | 0.000650735 / -0.000650735 | 0.00084617 / -0.00084617 | 0.000177995 / -0.000177995 | 0.0183114 / -0.0183114 | 0.00121594 / -0.00121594 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00275031 / -0.00275031 | 0.000519248 / -0.000519248 | 0.0015185 / -0.0015185 | 2.02704e-06 / -2.02704e-06 | 0.000165852 / -0.000165852 | -0.00171959 / 0.00171959 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00829349 / -0.00829349 | 0.00995195 / -0.00995195 | 0.00850808 / -0.00850808 | -0.000998422 / 0.000998422 | 0.000622552 / -0.000622552 | -0.00607649 / 0.00607649 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0.0147987 / -0.0147987 | 0.00964602 / -0.00964602 | 0.00787452 / -0.00787452 | 0.00852055 / -0.00852055 | 0.0411287 / -0.0411287 | -0.00895395 / 0.00895395 | 0 / 0 |
