 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 |
 | PRW | -0.0120101 / -0.0120101 | 0.00570854 / 0.00570853 | -0.00819004 / -0.00819003 | 0.00283924 / 0.00283924 | 0.146103 / 0.146103 | 0.0472499 / 0.0472499 | 0.290663 / 0.290662 |
 | MUON EFF ISO STAT | 0.00387612 / -0.00387622 | 0.00371165 / -0.00371174 | 0.00394039 / -0.00394049 | 0.00409611 / -0.00409622 | 0.00342726 / -0.00342734 | 0.00427478 / -0.0042749 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00429146 / -0.00429159 | 0.00444955 / -0.00444968 | 0.00423778 / -0.0042379 | 0.00409178 / -0.00409189 | 0.00471576 / -0.00471591 | 0.00389339 / -0.0038935 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000559841 / -0.000559843 | 0.000720521 / -0.000720524 | 0.000560748 / -0.00056075 | 0.000538638 / -0.00053864 | 0.000464253 / -0.000464254 | 0.000614097 / -0.0006141 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000536135 / 0.000536133 | -0.000571138 / 0.000571136 | -0.000499511 / 0.00049951 | -0.000512065 / 0.000512063 | -0.000432168 / 0.000432167 | -0.000483485 / 0.000483484 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00126211 / -0.00126212 | 0.00159882 / -0.00159884 | 0.00125615 / -0.00125616 | 0.00110018 / -0.00110019 | 0.00119618 / -0.00119619 | 0.00108226 / -0.00108227 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0263058 / -0.0263112 | 0.0287068 / -0.0287132 | 0.0286763 / -0.0286827 | 0.0262024 / -0.0262078 | 0.0258102 / -0.0258154 | 0.0317312 / -0.031739 | 0 / 0 |
 | MUON SCALE | 0.000919244 / -0.00091925 | -0.000273919 / 0.000273918 | 7.44523e-05 / -7.44523e-05 | 0.000136817 / -0.000136817 | 0 / 0 | 0.00547494 / -0.00547514 | 0 / 0 |
 | MUON CB | 0.0150431 / -0.015229 | 0.0395589 / -0.0408698 | 0.00512621 / -0.00514762 | -0.00136794 / 0.00136642 | -0.00385499 / 0.00384297 | 0.0289471 / -0.0296431 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0.00627798 / -0.0062786 | 0 / 0 | 0.000361888 / -0.00036189 | 0.00204446 / -0.00204452 | -0.0262712 / 0.0262604 | 0 / 0 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | 0.0012521 / -0.00125211 | 0.000135381 / -0.000135381 | -0.00289557 / 0.00289551 | -0.0204073 / 0.0204045 | 0 / 0 | 0.0162912 / -0.0162931 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00343468 / 0.0034346 | -0.00239919 / 0.00239916 | -0.00872946 / 0.00872894 | -0.0179394 / 0.0179372 | 0 / 0 | 0.0123394 / -0.0123405 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00123377 / 0.00123376 | -0.00796818 / 0.00796774 | -0.00333656 / 0.00333648 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
