 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | 0.292462 / 0.292462 | -0.00322131 / -0.00322131 | -0.00178206 / -0.00178206 | 0.0151985 / 0.0151985 | -0.0810975 / -0.0810975 | -0.0011432 / -0.0011432 | -1 / -1 |
 | MUON EFF ISO STAT | 0.000625368 / -0.000625368 | 0.00453299 / -0.00453299 | 0.00483788 / -0.00483788 | 0.00363351 / -0.00363351 | 0.00444425 / -0.00444425 | 0.00518862 / -0.00518862 | 0 / 0 |
 | MUON EFF ISO SYS | 0.0191873 / -0.0191873 | 0.0123943 / -0.0123943 | 0.0119517 / -0.0119517 | 0.0156469 / -0.0156469 | 0.0151718 / -0.0151718 | 0.0112647 / -0.0112647 | 0 / 0 |
 | MUON EFF RECO STAT | 0.00270281 / -0.00270281 | 0.00107763 / -0.00107763 | 0.00107942 / -0.00107942 | 0.00107694 / -0.00107694 | 0.00107787 / -0.00107787 | 0.0010768 / -0.0010768 | 0 / 0 |
 | MUON EFF RECO SYS | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000393735 / 0.000393735 | -0.000933319 / 0.000933319 | -0.00087293 / 0.00087293 | -0.000760028 / 0.000760028 | -0.000696019 / 0.000696019 | -0.000826261 / 0.000826261 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00595016 / -0.00595016 | 0.00247706 / -0.00247706 | 0.00257754 / -0.00257754 | 0.00279711 / -0.00279711 | 0.00317848 / -0.00317848 | 0.00262996 / -0.00262996 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | -0.00194868 / 0.00194868 | 0.0253066 / -0.0253066 | 0.0237572 / -0.0237572 | 0.023595 / -0.023595 | 0.0215669 / -0.0215669 | 0.0222777 / -0.0222777 | 0 / 0 |
