 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 |
 | PRW | 0.290181 / 0.290181 | -0.00319916 / -0.00319916 | -0.00176981 / -0.0017698 | 0.0150931 / 0.015093 | -0.0805623 / -0.0805621 | -0.00113533 / -0.00113533 | -0.993115 / -0.993114 |
 | MUON EFF ISO STAT | 0.000621198 / -0.0006212 | 0.00450271 / -0.00450284 | 0.00480556 / -0.00480571 | 0.00360924 / -0.00360933 | 0.00441456 / -0.00441469 | 0.00515394 / -0.00515412 | 0 / 0 |
 | MUON EFF ISO SYS | 0.0190572 / -0.0190596 | 0.0123106 / -0.0123116 | 0.0118709 / -0.0118719 | 0.015541 / -0.0155426 | 0.0150691 / -0.0150707 | 0.0111886 / -0.0111894 | 0 / 0 |
 | MUON EFF RECO STAT | 0.0026848 / -0.00268485 | 0.00107046 / -0.00107047 | 0.00107224 / -0.00107225 | 0.00106977 / -0.00106978 | 0.0010707 / -0.00107071 | 0.00106963 / -0.00106964 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000391116 / 0.000391115 | -0.000927112 / 0.000927107 | -0.000867125 / 0.00086712 | -0.000754974 / 0.00075497 | -0.00069139 / 0.000691387 | -0.000820766 / 0.000820762 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00591043 / -0.00591067 | 0.00246055 / -0.00246059 | 0.00256036 / -0.00256041 | 0.00277846 / -0.00277851 | 0.00315729 / -0.00315735 | 0.00261243 / -0.00261248 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | -0.0019337 / 0.00193367 | 0.0251094 / -0.0251143 | 0.0235723 / -0.0235766 | 0.0234113 / -0.0234156 | 0.0213992 / -0.0214028 | 0.0221044 / -0.0221082 | 0 / 0 |
