 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -1 / -1 | -0.00480302 / -0.00480302 | -0.00605396 / -0.00605396 | 0.0237951 / 0.0237951 | -1 / -1 | 0.0474305 / 0.0474305 | -1 / -1 |
 | MUON EFF ISO STAT | 0 / 0 | 0.00507911 / -0.00507911 | 0.00534946 / -0.00534946 | 0.00495892 / -0.00495892 | 0 / 0 | 0.00602366 / -0.00602366 | 0 / 0 |
 | MUON EFF ISO SYS | 0 / 0 | 0.011505 / -0.011505 | 0.0108781 / -0.0108781 | 0.0112452 / -0.0112452 | 0 / 0 | 0.00868966 / -0.00868966 | 0 / 0 |
 | MUON EFF RECO STAT | 0 / 0 | 0.00104357 / -0.00104357 | 0.00105281 / -0.00105281 | 0.00119539 / -0.00119539 | 0 / 0 | 0.00102495 / -0.00102495 | 0 / 0 |
 | MUON EFF RECO SYS | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0 / 0 |
 | MUON EFF TTVA STAT | 0 / 0 | -0.00107304 / 0.00107304 | -0.000970341 / 0.000970341 | -0.000928074 / 0.000928074 | 0 / 0 | -0.000910887 / 0.000910887 | 0 / 0 |
 | MUON EFF TTVA SYS | 0 / 0 | 0.00221795 / -0.00221795 | 0.00234317 / -0.00234317 | 0.00374596 / -0.00374596 | 0 / 0 | 0.00216159 / -0.00216159 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | 0 / 0 | 0.028076 / -0.028076 | 0.0235751 / -0.0235751 | 0.0264994 / -0.0264994 | 0 / 0 | 0.0202936 / -0.0202936 | 0 / 0 |
