 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 | 0.0188666 / -0.0188691 |
 | PRW | -0.993115 / -0.993114 | -0.00477003 / -0.00477003 | -0.00601241 / -0.0060124 | 0.0236294 / 0.0236294 | -0.993115 / -0.993114 | 0.0470964 / 0.0470963 | -0.993115 / -0.993114 |
 | MUON EFF ISO STAT | 0 / 0 | 0.00504517 / -0.00504534 | 0.0053137 / -0.00531389 | 0.00492578 / -0.00492594 | 0 / 0 | 0.00598339 / -0.00598363 | 0 / 0 |
 | MUON EFF ISO SYS | 0 / 0 | 0.0114273 / -0.0114281 | 0.0108046 / -0.0108054 | 0.0111692 / -0.01117 | 0 / 0 | 0.00863103 / -0.00863153 | 0 / 0 |
 | MUON EFF RECO STAT | 0 / 0 | 0.00103662 / -0.00103663 | 0.0010458 / -0.00104581 | 0.00118743 / -0.00118744 | 0 / 0 | 0.00101813 / -0.00101814 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0.00994344 / 0.00994365 | 0 / 0 |
 | MUON EFF TTVA STAT | 0 / 0 | -0.0010659 / 0.0010659 | -0.000963888 / 0.000963882 | -0.000921903 / 0.000921897 | 0 / 0 | -0.00090483 / 0.000904824 | 0 / 0 |
 | MUON EFF TTVA SYS | 0 / 0 | 0.00220317 / -0.0022032 | 0.00232756 / -0.00232759 | 0.00372098 / -0.00372107 | 0 / 0 | 0.00214719 / -0.00214722 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | 0 / 0 | 0.027857 / -0.027863 | 0.0233916 / -0.0233958 | 0.0262928 / -0.0262982 | 0 / 0 | 0.0201359 / -0.020139 | 0 / 0 |
 | MUON SCALE | 0 / 0 | -0.00298628 / 0.00298622 | -0.00130786 / 0.00130785 | 0 / 0 | 0 / 0 | -0.00605803 / 0.00605778 | 0 / 0 |
 | MUON CB | 0 / 0 | 0.00113175 / -0.00113279 | 0.000929244 / -0.000929945 | 0.0154651 / -0.0156616 | 0 / 0 | 0.00159046 / -0.00159252 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0 / 0 | 0 / 0 | -0.000907726 / 0.000907713 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | -2.37561e-06 / 2.37561e-06 | 2.33685e-05 / -2.33685e-05 | 0.000255519 / -0.000255519 | 0 / 0 | 0.00279308 / -0.00279313 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000553202 / -0.000553204 | 0.000510868 / -0.000510869 | 0 / 0 | 0 / 0 | -3.76461e-05 / 3.76461e-05 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0.000168042 / -0.000168042 | 9.76318e-05 / -9.76319e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.00525583 / -0.00525615 | 0.00446667 / -0.0044669 | 0.00446748 / -0.00446771 | 0 / 0 | 0.00598906 / -0.00598948 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.00190508 / 0.00190505 | -0.000961392 / 0.000961386 | 0 / 0 | 0 / 0 | 9.97365e-06 / -9.97365e-06 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0.000584101 / -0.000584103 | 0.000385216 / -0.000385217 | 0 / 0 | 0 / 0 | 0.00115189 / -0.0011519 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.00395752 / -0.00395764 | 0.00302588 / -0.00302595 | 0.00393048 / -0.00393059 | 0 / 0 | 0.00260573 / -0.00260578 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0.00310314 / -0.00310322 | 0.0026873 / -0.00268736 | 0.00448269 / -0.00448286 | 0 / 0 | 0.00833145 / -0.00833203 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.000444142 / 0.00044414 | -0.000315589 / 0.000315588 | 0 / 0 | 0 / 0 | -0.000107529 / 0.000107529 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0.000681943 / -0.000681946 | 0.000711112 / -0.000711116 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0.00233843 / -0.00233847 | 0.00197229 / -0.00197232 | 0 / 0 | 0 / 0 | 0.00561505 / -0.00561526 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0.000323788 / -0.000323789 | 0.000415034 / -0.000415035 | 0 / 0 | 0 / 0 | 9.34565e-06 / -9.34565e-06 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | -0.00133245 / 0.00133243 | -0.0010284 / 0.0010284 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0.000105496 / -0.000105497 | -0.000336352 / 0.000336352 | 0 / 0 | 0 / 0 | 1.16938e-05 / -1.16938e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | -2.82835e-05 / 2.82835e-05 | -0.000239545 / 0.000239545 | 0 / 0 | 0 / 0 | -1.16938e-05 / 1.16938e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0.000452997 / -0.000452998 | 0.000518105 / -0.000518107 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.00797371 / -0.00797416 | 0.00620692 / -0.00620719 | 0.00416736 / -0.00416748 | 0 / 0 | 0.0102031 / -0.0102038 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0458598 / -0.0459801 | 0.0318126 / -0.0318705 | 0.0704736 / -0.0707582 | 0 / 0 | 0.0580935 / -0.0582867 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.000508568 / -0.000508569 | 0.000236818 / -0.000236818 | 0 / 0 | 0 / 0 | -0.00509286 / 0.00509268 | 0 / 0 |
