 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.00114779 / -0.00114779 | 0.000308546 / 0.000308546 | 0.00260147 / 0.00260147 | -0.000447129 / -0.000447129 | -0.154505 / -0.154505 | 0.0126847 / 0.0126847 | -0.0607791 / -0.0607791 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00429616 / -0.00429616 | 0.00463679 / -0.00463678 | 0.00569623 / -0.00569633 | 0.00438358 / -0.00438356 | 0.00360608 / -0.00360608 | 0.00410227 / -0.00410223 | 0.00219126 / -0.00219124 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0204266 / -0.0204266 | 0.0209066 / -0.0209066 | 0.0221153 / -0.0221153 | 0.02032 / -0.02032 | 0.0158492 / -0.0158492 | 0.0196539 / -0.0196539 | 0.0116521 / -0.0116521 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0849735 / -0.0849735 | 0.0506697 / -0.0506698 | 0.04121 / -0.04121 | 0 / 0 | 0.0338447 / -0.0338447 | 0.0433249 / -0.0433249 | 0.0157307 / -0.0157307 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00239052 / -0.00239051 | 0.00312337 / -0.00312336 | 0.0124095 / -0.0124095 | 0 / 0 | 0.00297568 / -0.00297569 | 0.00328748 / -0.0032875 | -0.000284712 / 0.000284728 | 0 / 0 |
 | EG_RESOLUTION_ALL | 6.08337e-06 / -6.0821e-06 | 0.000755274 / -0.000755262 | -0.00175756 / 0.00175757 | 0.00195278 / -0.00195276 | 0.00405122 / -0.00405123 | 3.23042e-06 / -3.25059e-06 | 9.10736e-06 / -9.09083e-06 | 0 / 0 |
 | EG_SCALE_ALL | 3.24075e-05 / -3.24062e-05 | 0.0194813 / -0.0194812 | 0.00743338 / -0.00743349 | 0.00197523 / -0.00197521 | -1.95969e-07 / 1.92061e-07 | 0.0627364 / -0.0627363 | 0.00470044 / -0.00470042 | 0 / 0 |
 | JET_BJES_Response | 4.84621e-06 / -4.84493e-06 | -0.000101585 / 0.000101598 | 0.000365949 / -0.000365935 | 4.78779e-05 / -4.786e-05 | 0.00118749 / -0.00118749 | 0.0698683 / -0.0698683 | 0.00129004 / -0.00129003 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 2.85299e-06 / -2.85172e-06 | 0.000653225 / -0.000653283 | 0.000169735 / -0.000169721 | 0.0003306 / -0.000330582 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 0.000104852 / -0.000104835 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | -4.46116e-07 / 4.47393e-07 | 7.64725e-05 / -7.64602e-05 | 3.52623e-05 / -3.52483e-05 | 1.18507e-07 / -1.00573e-07 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 8.26884e-09 / 8.26884e-09 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 3.81523e-06 / -3.81396e-06 | 0.0131 / -0.0130999 | 0.00399707 / -0.00399706 | -0.00232728 / 0.00232729 | -1.95969e-07 / 1.92061e-07 | 0.0627364 / -0.0627363 | 0.00470044 / -0.00470042 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -1.378e-05 / 1.37813e-05 | 0.00170363 / -0.00170368 | -0.000299868 / 0.000299882 | 0.00226781 / -0.0022678 | 0.000421049 / -0.000421053 | 0.0698683 / -0.0698683 | 0.00460469 / -0.00460468 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 8.07659e-06 / -8.07531e-06 | 0.00235526 / -0.00235525 | 0.00102487 / -0.00102485 | 0.00132468 / -0.00132477 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 0.00470954 / -0.00470952 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 1.03447e-05 / -1.03434e-05 | 0.00440272 / -0.0044027 | 0.00212415 / -0.00212414 | 0.00521849 / -0.00521847 | 0.000784323 / -0.000784327 | 0.070223 / -0.070223 | 0.00704386 / -0.00704385 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 1.36438e-05 / -1.36426e-05 | 0.00928129 / -0.00928135 | 0.00242362 / -0.00242361 | 0.00371111 / -0.00371109 | 3.68494e-08 / 3.68494e-08 | 0.0698683 / -0.0698683 | 0.00470954 / -0.00470952 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -1.70104e-05 / 1.70117e-05 | 0.000620358 / -0.000620346 | 0.000773812 / -0.000773798 | 0.000524815 / -0.000524797 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | -0.000104835 / 0.000104852 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 3.0993e-07 / -3.08653e-07 | 0.000927631 / -0.000927619 | 5.78304e-05 / -5.79334e-05 | 0.000418561 / -0.000418543 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 8.26884e-09 / 8.26884e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 8.59782e-07 / -8.58505e-07 | 0.00481253 / -0.00481252 | 0.00214322 / -0.0021432 | 0.00360584 / -0.00360583 | 3.68494e-08 / 3.68494e-08 | 0.0698683 / -0.0698683 | 0.00470954 / -0.00470952 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 2.38161e-05 / -2.38148e-05 | 0.000506978 / -0.000507036 | -0.000326295 / 0.000326309 | 3.69239e-05 / -3.6906e-05 | 0.000421049 / -0.000421053 | -1.0084e-08 / -1.0084e-08 | -0.000104835 / 0.000104852 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -2.39922e-07 / 2.41198e-07 | 0.000421539 / -0.000421597 | 7.47857e-05 / -7.47717e-05 | 0.000659987 / -0.000660079 | 3.68494e-08 / 3.68494e-08 | 0.0698683 / -0.0698683 | 0.00470954 / -0.00470952 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 4.09016e-06 / -4.08888e-06 | 5.40921e-05 / -5.40798e-05 | -3.41959e-05 / 3.42099e-05 | 0.000419109 / -0.000419091 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 8.26884e-09 / 8.26884e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -6.28829e-06 / 6.28957e-06 | 5.62035e-05 / -5.61912e-05 | 4.14598e-05 / -4.14458e-05 | -1.08643e-06 / 1.10437e-06 | 3.68494e-08 / 3.68494e-08 | -1.0084e-08 / -1.0084e-08 | 8.26884e-09 / 8.26884e-09 | 0 / 0 |
