 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 |
 | PRW | 0.000821268 / -0.000797462 | -0.0002205 / 0.000214315 | -0.00185557 / 0.00180624 | 0.000319736 / -0.000310611 | 0.126972 / -0.110511 | -0.00897225 / 0.00879428 | 0.0457817 / -0.0426826 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00426747 / -0.00426759 | 0.00460582 / -0.00460595 | 0.00565817 / -0.00565848 | 0.0043543 / -0.00435441 | 0.003582 / -0.00358209 | 0.00407487 / -0.00407494 | 0.00217663 / -0.00217665 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0202797 / -0.0202826 | 0.0207563 / -0.0207593 | 0.0219563 / -0.0219596 | 0.0201739 / -0.0201767 | 0.0157351 / -0.0157368 | 0.0195125 / -0.0195152 | 0.0115681 / -0.011569 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0842676 / -0.084317 | 0.050235 / -0.0502538 | 0.0408535 / -0.0408661 | 0 / 0 | 0.0335501 / -0.0335587 | 0.0429508 / -0.0429647 | 0.0155917 / -0.0155936 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00237456 / -0.0023746 | 0.00310252 / -0.00310258 | 0.0123263 / -0.0123273 | 0 / 0 | 0.00295582 / -0.00295588 | 0.00326553 / -0.00326562 | -0.000282814 / 0.00028283 | 0 / 0 |
 | EG_RESOLUTION_ALL | 6.03831e-06 / -6.03704e-06 | 0.000749682 / -0.000749674 | -0.00174453 / 0.00174452 | 0.00193833 / -0.00193834 | 0.00402128 / -0.0040214 | 3.20664e-06 / -3.22665e-06 | 9.03979e-06 / -9.02338e-06 | 0 / 0 |
 | EG_SCALE_ALL | 3.21286e-05 / -3.21273e-05 | 0.0193189 / -0.0193211 | 0.00737017 / -0.00737061 | 0.00195829 / -0.00195829 | -1.94212e-07 / 1.90347e-07 | 0.0622536 / -0.0622733 | 0.00466029 / -0.00466041 | 0 / 0 |
 | JET_BJES_Response | 4.81287e-06 / -4.8116e-06 | -0.000100885 / 0.000100898 | 0.000363427 / -0.000363414 | 4.7548e-05 / -4.75302e-05 | 0.0011793 / -0.00117931 | 0.0693724 / -0.0694057 | 0.00128115 / -0.00128114 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 2.8336e-06 / -2.83233e-06 | 0.000648773 / -0.000648834 | 0.000168579 / -0.000168566 | 0.000328348 / -0.000328331 | 3.68726e-08 / 3.63162e-08 | -1.00904e-08 / -9.93808e-09 | 0.000104138 / -0.000104121 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | -4.43145e-07 / 4.44413e-07 | 7.59635e-05 / -7.59513e-05 | 3.50276e-05 / -3.50138e-05 | 1.17746e-07 / -9.99315e-08 | 3.67181e-08 / 3.64888e-08 | -1.00481e-08 / -9.98533e-09 | 8.23937e-09 / 8.18792e-09 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 3.78562e-06 / -3.78435e-06 | 0.0130013 / -0.013002 | 0.00396634 / -0.0039664 | -0.00230913 / 0.00230913 | -1.94368e-07 / 1.90502e-07 | 0.0623191 / -0.0623324 | 0.00466435 / -0.00466444 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -1.36857e-05 / 1.3687e-05 | 0.00169196 / -0.00169204 | -0.000297815 / 0.000297829 | 0.00225229 / -0.0022523 | 0.000418167 / -0.000418172 | 0.0693886 / -0.0694203 | 0.00457316 / -0.00457329 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 8.02158e-06 / -8.02031e-06 | 0.00233921 / -0.00233924 | 0.00101789 / -0.00101788 | 0.00131565 / -0.00131575 | 3.64617e-08 / 3.67332e-08 | -9.97792e-09 / -1.00522e-08 | 0.00467743 / -0.00467756 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 1.02685e-05 / -1.02673e-05 | 0.00437018 / -0.0043703 | 0.00210848 / -0.0021085 | 0.0051799 / -0.00518008 | 0.00077854 / -0.000778548 | 0.0696814 / -0.069718 | 0.00699171 / -0.00699206 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 1.33271e-05 / -1.33259e-05 | 0.00906503 / -0.00906702 | 0.00236725 / -0.00236737 | 0.00362476 / -0.00362505 | 3.56031e-08 / 3.63645e-08 | 0.068217 / -0.0683246 | 0.00459993 / -0.00460041 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -1.68944e-05 / 1.68957e-05 | 0.000616128 / -0.000616119 | 0.000768535 / -0.000768525 | 0.000521236 / -0.00052122 | 3.64625e-08 / 3.67318e-08 | -9.97814e-09 / -1.00518e-08 | -0.00010412 / 0.000104137 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 3.07845e-07 / -3.06578e-07 | 0.000921369 / -0.000921362 | 5.74399e-05 / -5.75422e-05 | 0.000415737 / -0.00041572 | 3.69285e-08 / 3.62616e-08 | -1.01057e-08 / -9.92315e-09 | 8.28659e-09 / 8.13694e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 8.48067e-07 / -8.46809e-07 | 0.00474527 / -0.00474557 | 0.0021133 / -0.00211335 | 0.00355548 / -0.00355564 | 3.63096e-08 / 3.63609e-08 | 0.068863 / -0.06893 | 0.00464372 / -0.00464401 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 2.36572e-05 / -2.3656e-05 | 0.000503595 / -0.000503655 | -0.000324119 / 0.000324132 | 3.66776e-05 / -3.66598e-05 | 0.00041824 / -0.000418245 | -1.00479e-08 / -9.98514e-09 | -0.000104136 / 0.000104152 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -2.38115e-07 / 2.39382e-07 | 0.000418472 / -0.000418531 | 7.42413e-05 / -7.42275e-05 | 0.000655185 / -0.000655279 | 3.60419e-08 / 3.70916e-08 | 0.0693798 / -0.0694103 | 0.00467534 / -0.00467548 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 4.06198e-06 / -4.06071e-06 | 5.37194e-05 / -5.37072e-05 | -3.39603e-05 / 3.39741e-05 | 0.000416219 / -0.000416203 | 3.68167e-08 / 3.63689e-08 | -1.00751e-08 / -9.95252e-09 | 8.2615e-09 / 8.16102e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -6.24517e-06 / 6.24644e-06 | 5.5818e-05 / -5.58058e-05 | 4.11754e-05 / -4.11616e-05 | -1.07903e-06 / 1.09684e-06 | 3.641e-08 / 3.67798e-08 | -9.96376e-09 / -1.0065e-08 | 8.17024e-09 / 8.25322e-09 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | -3.06498e-07 / 3.07766e-07 | 0.000967485 / -0.000967479 | 0.000214563 / -0.00021455 | 1.17721e-07 / -9.99096e-08 | 3.66972e-08 / 3.64964e-08 | -1.00424e-08 / -9.9874e-09 | 8.2347e-09 / 8.18963e-09 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | -3.8751e-05 / 3.87522e-05 | 0.0113102 / -0.0113119 | 0.00156921 / -0.00156923 | 0.00624866 / -0.00624925 | 0.00704537 / -0.00704602 | 0.150502 / -0.150758 | 0.00586286 / -0.00586328 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 5.47488e-05 / -5.47475e-05 | 0.057554 / -0.0570105 | 0.0220832 / -0.0220066 | 0.0197193 / -0.0196585 | 0.0194335 / -0.0193744 | 0.19928 / -0.191794 | 0.0225776 / -0.0224975 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | -3.65191e-06 / 3.65318e-06 | 0.0010093 / -0.00100929 | 0.000675366 / -0.000675355 | 0.00101866 / -0.00101865 | -0.000418237 / 0.000418232 | -9.98552e-09 / -1.00472e-08 | 9.84845e-05 / -9.84682e-05 | 0 / 0 |
 | JET_Flavor_Composition | 6.29172e-05 / -6.2916e-05 | 0.00969795 / -0.00969829 | 0.00339153 / -0.00339156 | 0.00561175 / -0.00561185 | 0.00115456 / -0.00115456 | -0.000164209 / 0.000164189 | 0.004315 / -0.00431505 | 0 / 0 |
 | JET_Flavor_Response | -1.75016e-05 / 1.75028e-05 | 0.00199599 / -0.00199612 | 3.42889e-05 / -3.43878e-05 | 0.000465727 / -0.000465718 | 0.000230686 / -0.000230692 | 0.0669195 / -0.067078 | 0.00393552 / -0.00393607 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.000175368 / 0.000175371 | -0.074764 / 0.0750778 | -0.0275892 / 0.0276277 | -0.0410556 / 0.0413879 | -0.0442364 / 0.0443391 | -0.0779887 / 0.0783325 | -0.00315663 / 0.00315712 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 9.03235e-05 / -9.03223e-05 | -6.91242e-05 / 6.91363e-05 | -0.00115967 / 0.00115968 | -0.000675316 / 0.00067533 | -0.00464655 / 0.00464638 | 0.000601468 / -0.000601491 | 0.0021941 / -0.00219419 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 9.94595e-05 / -9.94583e-05 | -0.00693171 / 0.0069314 | -0.00102078 / 0.00102079 | -0.000641869 / 0.000641884 | -0.00647264 / 0.00647235 | -0.0764799 / 0.0764465 | -0.0118698 / 0.0118689 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -2.48969e-06 / 2.49096e-06 | -0.0061567 / 0.00615644 | -0.0003809 / 0.000380913 | 0.00154842 / -0.00154842 | -0.00193795 / 0.00193792 | 0.0622541 / -0.0622834 | 0.00933131 / -0.00933194 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | -4.65338e-05 / 4.65351e-05 | 0.00696639 / -0.00696684 | -0.00134611 / 0.00134611 | -0.000935055 / 0.000935066 | 0.0122423 / -0.0122435 | 0.0763738 / -0.0764192 | 0.00889535 / -0.00889604 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -1.9415e-05 / 1.94162e-05 | -0.00112744 / 0.00112744 | -0.00331088 / 0.00331081 | 0.00321931 / -0.00321937 | -0.00633701 / 0.00633671 | -0.0762608 / 0.0762425 | 0.0174713 / -0.0174739 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 1.18303e-05 / -1.1829e-05 | 0.00189278 / -0.0018928 | 0.00169848 / -0.00169849 | 0.00524375 / -0.00524395 | 0.000605755 / -0.000605762 | 0.0696113 / -0.0696516 | 0.00124078 / -0.00124077 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 2.89568e-06 / -2.89441e-06 | -0.00038122 / 0.00038123 | 0.00055831 / -0.000558299 | 0.00160957 / -0.00160957 | 0.000971384 / -0.000971397 | 0.000351533 / -0.00035149 | 0.00213121 / -0.00213123 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0102727 / -0.0102734 | 0.0197624 / -0.0197646 | 0.00931168 / -0.00931219 | 0 / 0 | 0.027735 / -0.0277394 | 0.0193076 / -0.0193097 | 0.0137931 / -0.0137943 | 0 / 0 |
 | JET_Pileup_OffsetMu | -1.49108e-05 / 1.49121e-05 | 0.00168325 / -0.00168325 | 0.00137974 / -0.00137974 | 0.00267397 / -0.002674 | 0.000754805 / -0.000754813 | 0.0692019 / -0.0692352 | 0.00219314 / -0.00219315 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.000126762 / -0.00012676 | 0.00421566 / -0.00421588 | 0.00172231 / -0.00172244 | 0.0054166 / -0.00541686 | -0.00189236 / 0.00189232 | 0.0690404 / -0.0690845 | 0.0058724 / -0.0058727 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00010967 / -0.000109669 | 0.00844209 / -0.00844338 | 0.000299375 / -0.000299478 | 0.00118514 / -0.00118525 | -0.000330786 / 0.00033078 | 0.0686288 / -0.0687079 | 0.00372047 / -0.0037207 | 0 / 0 |
 | JET_Pileup_RhoTopology | 3.63187e-06 / -3.63061e-06 | 0.00456229 / -0.00456261 | 0.00286126 / -0.00286135 | 0.00537749 / -0.00537784 | -0.000946068 / 0.000946053 | 0.0693143 / -0.0693753 | 0.00587406 / -0.00587448 | 0 / 0 |
