 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.00154015 / -0.00154015 | 0.0264832 / 0.0264832 | -0.00323687 / -0.00323687 | 0.00989764 / 0.00989764 | -0.0025587 / -0.0025587 | -0.0143364 / -0.0143364 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00465082 / -0.00465086 | 0.00473403 / -0.00473401 | 0.00451415 / -0.0045141 | 0.00441569 / -0.00441564 | 0.00438972 / -0.00438977 | 0.00441482 / -0.00441489 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0216404 / -0.0216404 | 0.0221397 / -0.0221397 | 0.0211118 / -0.0211117 | 0.020731 / -0.0207309 | 0.0205889 / -0.0205889 | 0.0207559 / -0.0207558 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0241191 / -0.0241191 | 0.0254069 / -0.0254069 | 0.0216648 / -0.0216649 | 0.0196591 / -0.0196591 | 0.0187855 / -0.0187855 | 0.0199829 / -0.0199828 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00284674 / -0.00284667 | 0.00318415 / -0.00318419 | 0.00272718 / -0.00272724 | 0.0025608 / -0.00256075 | 0.00274632 / -0.00274631 | 0.00252946 / -0.00252953 | 0 / 0 |
 | EG_RESOLUTION_ALL | -6.33929e-05 / 6.33527e-05 | -0.00179006 / 0.00179009 | -3.4438e-05 / 3.44905e-05 | 0.000847494 / -0.000847543 | 0.000299689 / -0.00029968 | -0.00150366 / 0.00150358 | 0 / 0 |
 | EG_SCALE_ALL | 0.00029908 / -0.00029912 | 0.00844951 / -0.00844948 | 0.000202906 / -0.000202853 | 0.00294021 / -0.00294026 | -0.00169753 / 0.00169754 | 0.00146871 / -0.00146878 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -0.00456052 / 0.00456052 | -0.0134441 / 0.0134441 | -0.000959113 / 0.000959113 | -0.00281405 / 0.00281405 | -0.00589134 / 0.00589134 | -0.00247924 / 0.00247924 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00441078 / 0.00441078 | -0.00797478 / 0.00797478 | -0.00100989 / 0.00100989 | -0.00382906 / 0.00382906 | -0.00525195 / 0.00525195 | -0.00191024 / 0.00191024 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00400962 / 0.00400962 | -0.0177184 / 0.0177184 | -0.0019665 / 0.0019665 | -0.00289757 / 0.00289757 | -0.0043114 / 0.0043114 | 0.00154757 / -0.00154757 | 0 / 0 |
 | JET_BJES_Response | 4.91851e-05 / -4.92253e-05 | -0.000221091 / 0.000221052 | -2.75451e-05 / 2.75976e-05 | -9.56241e-05 / 9.56754e-05 | 0.000799678 / -0.000799668 | -0.000378531 / 0.000378554 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00124929 / -0.00124933 | 0.000180435 / -0.000180474 | 0.000400041 / -0.000399989 | 0.0005255 / -0.000525449 | 0.00114792 / -0.00114792 | 0.00141497 / -0.00141505 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000266712 / -0.000266753 | 0.000158386 / -0.000158361 | 0.000121455 / -0.000121403 | 6.9816e-05 / -6.98646e-05 | 0.00033899 / -0.000338981 | 0.000110071 / -0.000110048 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.0105707 / -0.0105706 | 0.00789493 / -0.0078949 | 0.00550603 / -0.00550609 | 0.00892171 / -0.00892166 | 0.00612347 / -0.00612352 | 0.0114803 / -0.0114803 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.00360039 / 0.00360046 | -0.00128622 / 0.00128618 | -0.00137831 / 0.00137837 | -0.00187942 / 0.00187947 | -0.00330828 / 0.00330829 | -0.00322528 / 0.0032253 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00181153 / -0.00181146 | 0.00128276 / -0.0012828 | 0.000740892 / -0.000740955 | 0.0011014 / -0.00110144 | 0.00181473 / -0.00181472 | 0.00301694 / -0.00301692 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00990559 / -0.00990552 | 0.00334468 / -0.00334465 | 0.0047006 / -0.00470055 | 0.00681702 / -0.00681707 | 0.00662085 / -0.00662084 | 0.00827456 / -0.00827453 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0.00725189 / -0.00725182 | 0.00611333 / -0.0061133 | 0.00374594 / -0.00374601 | 0.00600579 / -0.00600574 | 0.00433866 / -0.00433865 | 0.0091088 / -0.00910878 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -0.000166707 / 0.000166667 | -0.000720098 / 0.000720059 | 0.000105372 / -0.000105319 | 3.04778e-05 / -3.05264e-05 | -0.000269403 / 0.000269412 | 0.000529524 / -0.000529502 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0.00124395 / -0.00124399 | 0.000898451 / -0.000898425 | 0.00038706 / -0.000387007 | 0.000554455 / -0.000554403 | 0.00105543 / -0.00105542 | 0.000812506 / -0.000812483 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.00531136 / -0.00531129 | 0.00409861 / -0.00409864 | 0.00273189 / -0.00273184 | 0.00358489 / -0.00358494 | 0.00280236 / -0.00280235 | 0.00522919 / -0.00522916 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0.000190098 / -0.000190138 | 0.00179576 / -0.0017958 | 0.000122144 / -0.000122092 | 6.75196e-05 / -6.75682e-05 | -0.000627979 / 0.000627988 | 0.000759377 / -0.000759354 | 0 / 0 |
