 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 |
 | PRW | 0.00108834 / -0.00105653 | -0.0185508 / 0.0183407 | 0.00233156 / -0.00226083 | -0.00701158 / 0.00685782 | 0.00184656 / -0.00179134 | 0.0103581 / -0.00997035 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00461975 / -0.00461993 | 0.00470246 / -0.00470259 | 0.004484 / -0.00448408 | 0.0043862 / -0.00438627 | 0.00436042 / -0.00436059 | 0.00438533 / -0.00438553 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0214849 / -0.0214881 | 0.0219806 / -0.0219839 | 0.02096 / -0.020963 | 0.0205819 / -0.0205848 | 0.0204409 / -0.0204438 | 0.0206068 / -0.0206097 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0239072 / -0.0239117 | 0.0251835 / -0.0251884 | 0.0214742 / -0.0214779 | 0.0194859 / -0.0194888 | 0.0186195 / -0.0186223 | 0.0198049 / -0.0198079 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00282775 / -0.00282773 | 0.00316293 / -0.00316304 | 0.00270898 / -0.00270909 | 0.00254373 / -0.00254372 | 0.00272796 / -0.002728 | 0.00251256 / -0.00251268 | 0 / 0 |
 | EG_RESOLUTION_ALL | -6.32184e-05 / 6.31785e-05 | -0.0017731 / 0.0017731 | -3.42095e-05 / 3.42615e-05 | 0.000841072 / -0.000841125 | 0.000297218 / -0.000297209 | -0.00149214 / 0.00149204 | 0 / 0 |
 | EG_SCALE_ALL | 0.000295852 / -0.000295893 | 0.00837991 / -0.00838032 | 0.000201008 / -0.000200957 | 0.00291464 / -0.00291474 | -0.0016832 / 0.00168319 | 0.00145553 / -0.00145562 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -0.00452805 / 0.00452793 | -0.0133483 / 0.0133472 | -0.000952348 / 0.000952343 | -0.00279669 / 0.00279664 | -0.00584973 / 0.00584952 | -0.00246205 / 0.00246201 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00435271 / 0.00435246 | -0.00786667 / 0.00786585 | -0.000996631 / 0.000996618 | -0.00378042 / 0.00378023 | -0.00518326 / 0.00518291 | -0.00188147 / 0.00188142 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00398184 / 0.00398173 | -0.0175949 / 0.0175927 | -0.00195282 / 0.0019528 | -0.00287746 / 0.0028774 | -0.004284 / 0.00428387 | 0.00153167 / -0.00153168 | 0 / 0 |
 | JET_BJES_Response | 4.88489e-05 / -4.88888e-05 | -0.000219636 / 0.000219597 | -2.73544e-05 / 2.74065e-05 | -9.50156e-05 / 9.50665e-05 | 0.00079419 / -0.000794185 | -0.000376446 / 0.000376467 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00124087 / -0.00124092 | 0.000179655 / -0.000179694 | 0.000397307 / -0.000397256 | 0.000521913 / -0.000521864 | 0.00114126 / -0.00114126 | 0.00140404 / -0.00140413 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.00026498 / -0.00026502 | 0.000157246 / -0.000157221 | 0.000120652 / -0.0001206 | 6.94972e-05 / -6.95455e-05 | 0.000336391 / -0.000336383 | 0.000109311 / -0.000109289 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.01049 / -0.0104904 | 0.00783267 / -0.00783293 | 0.0054637 / -0.0054639 | 0.00885339 / -0.00885371 | 0.00607594 / -0.00607616 | 0.011394 / -0.0113946 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.00357591 / 0.00357589 | -0.00127872 / 0.00127867 | -0.00136885 / 0.00136889 | -0.00186649 / 0.00186652 | -0.00328546 / 0.0032854 | -0.00320602 / 0.00320598 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00179909 / -0.00179904 | 0.00127385 / -0.0012739 | 0.000735816 / -0.000735882 | 0.00109373 / -0.00109379 | 0.00180358 / -0.00180359 | 0.00299532 / -0.00299536 | 0 / 0 |
