 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | 0.002233 / 0.002233 | -0.0838164 / -0.0838164 | 0.00744992 / 0.00744992 | -0.0093377 / -0.0093377 | 0.0974578 / 0.0974578 | 0.0244072 / 0.0244072 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00456906 / -0.00456908 | 0.00428749 / -0.00428743 | 0.00453318 / -0.00453318 | 0.00445649 / -0.00445652 | 0.00385353 / -0.00385347 | 0.00450163 / -0.00450164 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0211035 / -0.0211036 | 0.0204546 / -0.0204546 | 0.0209177 / -0.0209177 | 0.0205411 / -0.020541 | 0.0203735 / -0.0203734 | 0.0204471 / -0.0204471 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0298307 / -0.0298306 | 0.0329558 / -0.0329558 | 0.0298007 / -0.0298007 | 0.0254786 / -0.0254786 | 0.0251369 / -0.0251369 | 0.0298902 / -0.0298902 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00287836 / -0.00287838 | 0.00294481 / -0.00294483 | 0.00245208 / -0.00245208 | 0.00197487 / -0.00197482 | 0.000986298 / -0.000986309 | 0.00271705 / -0.00271705 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.00291266 / -0.00291268 | 1.46998e-06 / -1.49112e-06 | -0.000356523 / 0.000356522 | -0.00404625 / 0.00404623 | 0.00661639 / -0.00661633 | -0.00922079 / 0.00922078 | 0 / 0 |
 | EG_SCALE_ALL | -0.0023766 / 0.00237658 | 0.00968898 / -0.00968901 | 0.00419524 / -0.00419524 | -0.000502744 / 0.000502794 | 0.0306704 / -0.0306704 | 0.00322331 / -0.00322332 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -3.07657e-05 / 3.07657e-05 | -0.0149061 / 0.0149061 | -0.00273231 / 0.00273231 | 0.00416386 / -0.00416386 | 2.85669e-08 / -2.85669e-08 | 0.00739411 / -0.00739411 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00148199 / 0.00148199 | -0.0102937 / 0.0102937 | -0.00260267 / 0.00260267 | 0.00235306 / -0.00235306 | 2.85669e-08 / -2.85669e-08 | 0.0113826 / -0.0113826 | 0 / 0 |
