 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 |
 | PRW | -0.00159325 / 0.00155051 | 0.0644518 / -0.0591267 | -0.00529246 / 0.00516816 | 0.0067275 / -0.00649716 | -0.0644287 / 0.0665728 | -0.0170981 / 0.0168813 | 0 / 0 |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00453854 / -0.0045387 | 0.00425886 / -0.00425891 | 0.0045029 / -0.00450304 | 0.00442672 / -0.00442688 | 0.0038278 / -0.00382784 | 0.00447157 / -0.0044717 | 0 / 0 |
 | EL_EFF_ID_TOTAL | 0.0209518 / -0.0209549 | 0.0203075 / -0.0203104 | 0.0207673 / -0.0207703 | 0.0203934 / -0.0203962 | 0.020227 / -0.0202298 | 0.0203 / -0.0203029 | 0 / 0 |
 | EL_EFF_Iso_TOTAL | 0.0295701 / -0.0295768 | 0.0326686 / -0.0326769 | 0.0295403 / -0.0295471 | 0.0252552 / -0.0252602 | 0.0249165 / -0.0249213 | 0.0296291 / -0.0296359 | 0 / 0 |
 | EL_EFF_Trigger_TOTAL | 0.00285914 / -0.00285922 | 0.00292515 / -0.00292523 | 0.00243571 / -0.00243575 | 0.00196169 / -0.00196167 | 0.00097972 / -0.000979737 | 0.00269891 / -0.00269897 | 0 / 0 |
 | EG_RESOLUTION_ALL | 0.00289112 / -0.0028912 | 1.45925e-06 / -1.48022e-06 | -0.000353882 / 0.00035388 | -0.00401623 / 0.00401608 | 0.00656754 / -0.00656779 | -0.00915218 / 0.00915158 | 0 / 0 |
 | EG_SCALE_ALL | -0.00235607 / 0.00235601 | 0.00960689 / -0.00960749 | 0.00415937 / -0.00415948 | -0.000498414 / 0.000498462 | 0.0304197 / -0.0304251 | 0.00319571 / -0.00319578 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -3.05497e-05 / 3.05497e-05 | -0.0147996 / 0.0147982 | -0.00271306 / 0.00271302 | 0.00413478 / -0.00413488 | 2.83663e-08 / -2.83663e-08 | 0.00734266 / -0.00734298 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00146259 / 0.00146257 | -0.0101597 / 0.0101583 | -0.00256863 / 0.00256854 | 0.00232219 / -0.00232226 | 2.81926e-08 / -2.81926e-08 | 0.0112325 / -0.0112342 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00342176 / 0.00342168 | -0.0118568 / 0.0118558 | -0.00228549 / 0.00228545 | -0.0114443 / 0.0114434 | 2.83685e-08 / -2.83685e-08 | -0.00861327 / 0.00861277 | 0 / 0 |
 | JET_BJES_Response | 0.000120402 / -0.000120423 | 0.00019174 / -0.000191675 | -9.03501e-05 / 9.03491e-05 | -0.00312062 / 0.00312053 | 0.0311013 / -0.031108 | 0.00126129 / -0.0012613 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00119737 / -0.0011974 | 0.00106815 / -0.00106818 | 0.000199321 / -0.000199322 | -0.000660719 / 0.000660689 | 0.0104398 / -0.0104405 | -0.000267087 / 0.000267082 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000147667 / -0.000147688 | -0.000231429 / 0.000231408 | 3.98226e-05 / -3.98236e-05 | 1.5563e-06 / -1.50685e-06 | 2.8465e-08 / 2.82873e-08 | 5.28192e-08 / 5.24894e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.0154167 / -0.0154177 | 0.004423 / -0.00442311 | 0.0115572 / -0.0115578 | 0.0180253 / -0.0180268 | 0.0422841 / -0.0422911 | 0.0090852 / -0.0090856 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0.00101738 / -0.00101741 | -0.000578231 / 0.000578294 | 0.00113399 / -0.001134 | 0.00125493 / -0.00125496 | 0.0119475 / -0.0119485 | -0.00168262 / 0.0016826 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00219492 / -0.00219498 | -0.00022655 / 0.000226615 | 0.000956866 / -0.000956874 | -0.00241364 / 0.00241357 | 0.0104404 / -0.0104412 | 0.000706543 / -0.00070655 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00732542 / -0.00732584 | 0.00258557 / -0.00258564 | 0.00363897 / -0.00363906 | 0.00794517 / -0.00794566 | 0.0341527 / -0.0341614 | 0.0123006 / -0.0123017 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0.0116328 / -0.011636 | 0.00554981 / -0.00555056 | 0.00645051 / -0.00645148 | 0.00851384 / -0.00851557 | 0.0360956 / -0.036126 | 0.00720531 / -0.00720653 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0.00121062 / -0.00121065 | -0.00080046 / 0.000800434 | 0.000485289 / -0.000485292 | 0.00134836 / -0.00134833 | 0.0104403 / -0.0104411 | -0.00010162 / 0.000101617 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0.000792051 / -0.000792076 | -0.000926734 / 0.000926708 | -3.78488e-05 / 3.78478e-05 | -0.000682202 / 0.000682172 | 0.0104436 / -0.0104444 | 5.3122e-08 / 5.21626e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.0079359 / -0.00793681 | 0.00174533 / -0.00174539 | 0.00362838 / -0.00362857 | 0.00424326 / -0.00424347 | 0.0289504 / -0.0289623 | 0.00432687 / -0.00432714 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0.000127264 / -0.000127285 | 0.000129668 / -0.000129689 | 0.000197298 / -0.0001973 | 0.00140836 / -0.00140833 | 3.25799e-06 / -3.20124e-06 | 0.000608219 / -0.000608225 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.000400539 / 0.000400517 | 0.000114718 / -0.000114653 | -4.68914e-05 / 4.68904e-05 | -0.000773814 / 0.000773783 | 0.0104393 / -0.01044 | -0.00275959 / 0.00275954 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.000886079 / 0.000886053 | 0.000207914 / -0.000207935 | -0.000352569 / 0.000352568 | -0.00217009 / 0.00217003 | 3.25735e-06 / -3.20062e-06 | -0.00140978 / 0.00140976 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -0.0007134 / 0.000713375 | 0.000494303 / -0.000494326 | 4.71468e-05 / -4.71478e-05 | 0.000683088 / -0.000683119 | -3.20069e-06 / 3.25743e-06 | -1.93232e-05 / 1.93197e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000818794 / -0.000818716 | -0.000301189 / 0.000301167 | 0.000269643 / -0.000269644 | -0.000682135 / 0.000682105 | 0.00389733 / -0.00389745 | 5.27893e-08 / 5.25004e-08 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.013965 / -0.0139675 | 0.0011246 / -0.00112464 | 0.00649202 / -0.00649257 | 0.0209719 / -0.0209775 | 0.0366328 / -0.0366497 | 0.00291853 / -0.00291865 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0781332 / -0.0771076 | 0.138455 / -0.135028 | 0.0333486 / -0.0331715 | 0.0847436 / -0.0835283 | 0.103871 / -0.102007 | 0.0686888 / -0.0679046 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00182011 / -0.00182015 | -0.0003162 / 0.000316179 | 0.000471553 / -0.000471555 | 0.00429686 / -0.00429693 | 0.0125869 / -0.0125879 | -0.000600158 / 0.000600152 | 0 / 0 |
 | JET_Flavor_Composition | 0.0185426 / -0.0185438 | 4.74699e-05 / -4.74908e-05 | 0.00769412 / -0.00769435 | 0.0204216 / -0.020423 | 0.0124327 / -0.0124333 | 0.0163413 / -0.0163422 | 0 / 0 |
 | JET_Flavor_Response | -0.00142421 / 0.00142412 | 0.00141779 / -0.0014178 | -0.000936124 / 0.000936091 | -0.000146111 / 0.000146084 | 0.0186405 / -0.0186531 | -0.00787666 / 0.00787438 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.104417 / 0.105068 | -0.186755 / 0.189188 | -0.0623613 / 0.0625739 | -0.071891 / 0.0721793 | -0.137193 / 0.138391 | -0.105588 / 0.106255 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00562003 / 0.00561977 | -0.0214711 / 0.0214677 | -0.000555644 / 0.000555641 | -0.024048 / 0.0240437 | 0.011782 / -0.0117832 | -0.0146268 / 0.0146253 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | 0.00190722 / -0.00190716 | 0.00462261 / -0.00462278 | -0.000861373 / 0.000861366 | -0.0126193 / 0.0126183 | 0.006967 / -0.00696735 | 0.0384688 / -0.0384798 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000145105 / 0.000145084 | 0.00506556 / -0.00506577 | 0.00337048 / -0.00337057 | -0.0135372 / 0.0135358 | -0.0169316 / 0.0169296 | 0.00913508 / -0.00913569 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.000656305 / -0.00065633 | -0.00881812 / 0.00881748 | -0.00162852 / 0.0016285 | 0.0269378 / -0.0269435 | -0.0176648 / 0.0176623 | -0.0213975 / 0.0213938 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00366009 / 0.00365997 | 0.015056 / -0.0150579 | 0.000341681 / -0.000341683 | -0.00262958 / 0.00262958 | -0.0265984 / 0.0265941 | -0.0178991 / 0.017897 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00485879 / -0.00485899 | 0.00386411 / -0.00386425 | 0.00124418 / -0.00124419 | 0.000728108 / -0.000728062 | 0.0277064 / -0.0277125 | 0.00566024 / -0.0056605 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.0020823 / -0.00208236 | -0.00646239 / 0.00646208 | -0.00129261 / 0.00129259 | -0.00371767 / 0.00371759 | -0.0110746 / 0.0110735 | 0.00513431 / -0.00513454 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0174509 / -0.0174527 | 0.0279718 / -0.0279763 | 0.0201008 / -0.0201032 | 0.0307919 / -0.0307973 | 0.0216922 / -0.0216949 | 0.0365025 / -0.0365099 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00425832 / -0.00425847 | 0.0234579 / -0.0234618 | 0.0051139 / -0.00511409 | 0.00509939 / -0.0050996 | 0.0196262 / -0.0196289 | 0.00289075 / -0.00289082 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.0116444 / -0.0116457 | 0.00861133 / -0.00861195 | 0.00377242 / -0.00377255 | 0.00499626 / -0.00499652 | 0.0475568 / -0.0475778 | 0.00913055 / -0.00913133 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.0140151 / -0.0140186 | 0.00516234 / -0.00516282 | 0.00777923 / -0.00778028 | 0.0131127 / -0.0131157 | 0.0312502 / -0.031267 | -0.00340695 / 0.00340674 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.0120158 / -0.0120176 | -0.0063127 / 0.00631217 | 0.00401409 / -0.0040143 | 0.00343224 / -0.00343242 | 0.0341481 / -0.034163 | 0.0216776 / -0.0216836 | 0 / 0 |
 | JET_SingleParticle_HighPt | 7.38285e-05 / -7.38495e-05 | 1.96277e-05 / -1.96487e-05 | 9.69947e-05 / -9.69957e-05 | 2.47246e-08 / 2.47259e-08 | 2.83761e-08 / 2.83775e-08 | 5.26541e-08 / 5.26567e-08 | 0 / 0 |
 | MUF_Wjets | -0.214369 / 0.206859 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
