 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 |    NA    |
 | PRW | 0.405604 / -0.287956 | 0.00348569 / -0.00337637 | 0.00329107 / -0.00318842 | -0.00362203 / 0.0035315 | -0.0726054 / 0.0756312 | 0.00961918 / -0.0092653 |    NA    |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00572152 / -0.00572174 | 0.00666348 / -0.00666377 | 0.0066623 / -0.0066626 | 0.00558685 / -0.00558706 | 0.0057722 / -0.00577242 | 0.00684107 / -0.00684138 |    NA    |
 | EL_EFF_ID_TOTAL | 0.0307421 / -0.0307485 | 0.0359702 / -0.035979 | 0.0360456 / -0.0360545 | 0.0364908 / -0.0364998 | 0.033886 / -0.0338939 | 0.0358823 / -0.0358911 |    NA    |
 | EL_EFF_Iso_TOTAL | 0.0228189 / -0.0228229 | 0.0345726 / -0.0345817 | 0.0312542 / -0.0312617 | 0.0241642 / -0.0241688 | 0.0226275 / -0.0226315 | 0.0294888 / -0.0294955 |    NA    |
 | EL_EFF_Trigger_TOTAL | 0.000201963 / -0.000201963 | 0.000629251 / -0.000629254 | 0.000504832 / -0.000504834 | 0.000748812 / -0.000748816 | 0.000469792 / -0.000469794 | 0.000489837 / -0.000489838 |    NA    |
 | EG_RESOLUTION_ALL | 2.41482e-06 / -2.41482e-06 | 6.11815e-05 / -6.11815e-05 | -0.000205922 / 0.000205922 | -0.00155446 / 0.00155445 | 0 / 0 | 0.00064347 / -0.000643473 |    NA    |
 | EG_SCALE_ALL | 0.00346995 / -0.00347002 | 0.00825447 / -0.0082549 | 0.00378886 / -0.00378895 | 0.00761395 / -0.00761432 | 0.0231787 / -0.0231819 | 0.00383243 / -0.00383252 |    NA    |
 | JET_BJES_Response | 0 / 0 | 8.54127e-05 / -8.54127e-05 | 5.75236e-05 / -5.75236e-05 | 4.8169e-05 / -4.8169e-05 | 0.000244767 / -0.000244767 | 0.000741642 / -0.000741646 |    NA    |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000532215 / -0.000532217 | 0.000211793 / -0.000211793 | 0.000970841 / -0.000970847 | 0 / 0 | 0.000627545 / -0.000627547 |    NA    |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 8.34852e-05 / -8.34852e-05 | 6.00351e-05 / -6.00351e-05 | 0.00016845 / -0.00016845 | 0 / 0 | 0.000179364 / -0.000179365 |    NA    |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.00251956 / -0.00251959 | 0.00169983 / -0.00169984 | 0.00326028 / -0.00326033 | 0.0232003 / -0.0232026 | 0.00197369 / -0.00197371 |    NA    |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.00171269 / 0.00171267 | -0.000942145 / 0.000942139 | -0.00150728 / 0.00150726 | 0 / 0 | -0.00157688 / 0.00157686 |    NA    |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0.00037302 / -0.000373021 | 0.000252283 / -0.000252283 | 0.00112285 / -0.00112286 | 0 / 0 | 0.000161552 / -0.000161552 |    NA    |
 | JET_EffectiveNP_Modelling1 | -0.00416733 / 0.00416721 | 0.00436721 / -0.00436735 | 0.00231734 / -0.00231738 | 0.00405499 / -0.00405511 | 0.00570903 / -0.00570928 | 0.00481314 / -0.00481332 |    NA    |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0.0017213 / -0.00172137 | 0.001002 / -0.00100203 | 0.0026136 / -0.00261376 | 0 / 0 | 0.00131011 / -0.00131015 |    NA    |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.000504356 / 0.000504354 | -0.000166142 / 0.000166142 | 0.000128469 / -0.000128469 | 0 / 0 | -0.00052792 / 0.000527918 |    NA    |
 | JET_EffectiveNP_Modelling4 | 0 / 0 | 0.000499044 / -0.000499046 | 0.000252788 / -0.000252789 | 0.000974246 / -0.000974252 | 0 / 0 | 0.000476979 / -0.000476981 |    NA    |
 | JET_EffectiveNP_Statistical1 | 0 / 0 | 0.00129671 / -0.00129673 | 0.000809021 / -0.00080903 | 0.00154916 / -0.0015492 | 0 / 0 | 0.00100876 / -0.00100877 |    NA    |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 1.8028e-05 / -1.8028e-05 | 2.94617e-06 / -2.94617e-06 | 0.000109723 / -0.000109723 | 0.000101675 / -0.000101675 | -7.86813e-05 / 7.86813e-05 |    NA    |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | -0.00099014 / 0.000990133 | -0.000552785 / 0.000552783 | -0.00116175 / 0.00116175 | 0 / 0 | -0.000928193 / 0.000928187 |    NA    |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 9.61087e-05 / -9.61087e-05 | -1.45912e-05 / 1.45912e-05 | -0.000968579 / 0.000968573 | 0 / 0 | 0.000355917 / -0.000355918 |    NA    |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 2.33187e-05 / -2.33187e-05 | 6.8896e-06 / -6.8896e-06 | -0.00102601 / 0.001026 | 0 / 0 | 0.000276237 / -0.000276238 |    NA    |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0.000269134 / -0.000269134 | 0.00013608 / -0.00013608 | 0.000216365 / -0.000216366 | 0 / 0 | 0.000483681 / -0.000483683 |    NA    |
 | JET_EtaIntercalibration_Modelling | -1.62916e-05 / 1.62916e-05 | 0.0055157 / -0.00551609 | 0.00307215 / -0.00307227 | 0.00771871 / -0.00771947 | -0.000794826 / 0.000794818 | 0.006214 / -0.00621449 |    NA    |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | -0.00279039 / 0.00279157 | 0.0240839 / -0.0239926 | 0.0140202 / -0.0139897 | 0.0370794 / -0.0368594 | 0.0289645 / -0.0288316 | 0.0240533 / -0.0239622 |    NA    |
 | JET_EtaIntercalibration_TotalStat | -0.00335075 / 0.00335068 | 0.000511632 / -0.000511634 | 0.000210558 / -0.000210558 | 0.0010385 / -0.00103851 | -9.00406e-05 / 9.00405e-05 | 0.00110674 / -0.00110674 |    NA    |
 | JET_Flavor_Composition | -0.00507678 / 0.00507667 | 0.00682777 / -0.00682794 | 0.00390265 / -0.00390271 | 0.00889907 / -0.00889937 | 0.00383666 / -0.00383672 | 0.00492741 / -0.00492751 |    NA    |
 | JET_Flavor_Response | 0.00437978 / -0.00438048 | -0.00860052 / 0.0085978 | -0.00470234 / 0.00470153 | -0.00904481 / 0.0090418 | -0.00477069 / 0.00476986 | -0.0053085 / 0.00530747 |    NA    |
 | JET_InSitu_NonClosure_PreRec | -0.0377528 / 0.0378265 | -0.0254183 / 0.0254508 | -0.0165114 / 0.0165248 | -0.0272215 / 0.0272589 | -0.0259736 / 0.0260076 | -0.0270819 / 0.0271189 |    NA    |
 | JET_JER_DataVsMC_MC16 | 0.000353302 / -0.000353303 | -0.000462886 / 0.000462885 | 4.82467e-05 / -4.82468e-05 | -0.00248608 / 0.00248603 | 0.00794196 / -0.00794246 | -0.000160872 / 0.000160871 |    NA    |
 | JET_JER_EffectiveNP_10 | 0.00713084 / -0.00713119 | -0.00043484 / 0.000434838 | -0.000360832 / 0.000360831 | -0.000130862 / 0.000130862 | -0.00862648 / 0.00862598 | -0.0025213 / 0.00252125 |    NA    |
 | JET_JER_EffectiveNP_11 | -0.0066713 / 0.00667098 | -0.000681809 / 0.000681806 | 5.60139e-05 / -5.60139e-05 | -0.00132928 / 0.00132927 | -0.00800082 / 0.00800036 | -0.00310469 / 0.00310462 |    NA    |
