 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 | 0.0188433 / -0.018846 |    NA    |
 | PRW | 0.395385 / -0.282596 | -0.000817367 / 0.000794875 | 0.00278477 / -0.00269917 | 0.0445566 / -0.0415924 | 0.266524 / -0.208302 | 0.0162328 / -0.0155418 |    NA    |
 | EL EFF Reco TOTAL 1NPCOR PLUS UNCOR | 0.00582822 / -0.00582844 | 0.00747478 / -0.00747516 | 0.00716622 / -0.00716656 | 0.00640519 / -0.00640546 | 0.00501105 / -0.00501122 | 0.00720106 / -0.00720141 |    NA    |
 | EL_EFF_ID_TOTAL | 0.0322804 / -0.0322875 | 0.0382784 / -0.0382883 | 0.0368221 / -0.0368313 | 0.0364721 / -0.0364812 | 0.0295478 / -0.0295538 | 0.0361287 / -0.0361376 |    NA    |
 | EL_EFF_Iso_TOTAL | 0.0359115 / -0.0359213 | 0.0486474 / -0.048665 | 0.0446861 / -0.0447011 | 0.0398155 / -0.0398275 | 0.031966 / -0.0319738 | 0.0445424 / -0.0445573 |    NA    |
 | EL_EFF_Trigger_TOTAL | 0.000157414 / -0.000157414 | 0.000835383 / -0.000835388 | 0.000705108 / -0.000705111 | 0.00466688 / -0.00466703 | 0 / 0 | 0.000549681 / -0.000549683 |    NA    |
 | EG_RESOLUTION_ALL | 0.108411 / -0.108483 | 8.92683e-05 / -8.92684e-05 | 0.000284268 / -0.000284268 | 0.0219964 / -0.0219997 | 0 / 0 | 0.00607466 / -0.00607491 |    NA    |
 | EG_SCALE_ALL | 0 / 0 | 0.0131529 / -0.0131539 | 0.00621842 / -0.00621867 | 0.00280345 / -0.0028035 | 0 / 0 | 0.0157181 / -0.0157196 |    NA    |
 | JET_BJES_Response | 0 / 0 | 3.07517e-05 / -3.07517e-05 | 1.59095e-05 / -1.59095e-05 | 3.59396e-06 / -3.59396e-06 | 0 / 0 | 0.00288092 / -0.00288098 |    NA    |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000540405 / -0.000540407 | 0.000211528 / -0.000211528 | 0 / 0 | 0 / 0 | 0.00188211 / -0.00188214 |    NA    |
