 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.0054075 / -0.0054075 | 0.0373621 / 0.0373621 | -0.00614338 / -0.00614338 | -0.0244452 / -0.0244452 | -0.12328 / -0.12328 | 0.00430713 / 0.00430713 | -0.204028 / -0.204028 | -0.175505 / -0.175505 |
 | MUON EFF ISO STAT | 0.00378924 / -0.00378921 | 0.00389155 / -0.00389162 | 0.00375792 / -0.00375794 | 0.00404722 / -0.00404721 | 0.00383653 / -0.00383649 | 0.00392571 / -0.00392574 | 0.00145007 / -0.00145002 | 0 / 0 |
 | MUON EFF ISO SYS | 0.0044333 / -0.00443334 | 0.00425119 / -0.00425118 | 0.00442864 / -0.00442866 | 0.00410344 / -0.00410343 | 0.00311289 / -0.00311296 | 0.00424555 / -0.00424558 | 0.0019922 / -0.00199214 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000543938 / -0.000543976 | 0.000606851 / -0.000606839 | 0.000652101 / -0.000652011 | 0.000614444 / -0.0006145 | 0.000227607 / -0.000227624 | 0.000820395 / -0.000820424 | 0.000351553 / -0.000351581 | 0 / 0 |
 | MUON EFF RECO SYS | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000400345 / 0.000400306 | -0.000525685 / 0.000525697 | -0.000572314 / 0.000572404 | -0.000512224 / 0.000512233 | -0.000407641 / 0.000407684 | -0.000419212 / 0.000419183 | -0.00029248 / 0.000292536 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00135637 / -0.00135634 | 0.00116374 / -0.00116373 | 0.00137559 / -0.00137561 | 0.00116346 / -0.00116345 | -0.000421002 / 0.000420985 | 0.000934209 / -0.000934179 | 0.000897562 / -0.00089759 | 0 / 0 |
 | MUON EFF Trig Stat | -1.93427e-08 / -1.93427e-08 | -3.70035e-08 / -3.70035e-08 | 4.51476e-08 / 4.51476e-08 | 4.83453e-09 / 4.83453e-09 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0267732 / -0.0267731 | 0.0270939 / -0.0270939 | 0.0271964 / -0.0271964 | 0.0295455 / -0.0295455 | 0.0256226 / -0.0256227 | 0.0296997 / -0.0296997 | 0.0103343 / -0.0103343 | 0 / 0 |
 | MUON SCALE | 3.59579e-05 / -3.59966e-05 | -0.00154256 / 0.00154257 | 0 / 0 | -0.000731909 / 0.000731853 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | MUON CB | -0.0200429 / 0.0200429 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0504851 / -0.0504851 | 0.044879 / -0.044879 | 0.183833 / -0.183833 | 0 / 0 |
 | MUON SAGITTA DATASTAT | -0.000474795 / 0.000474795 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0348087 / 0.0348087 | 1.70157e-05 / -1.70152e-05 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | -0.000442006 / 0.000441967 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0681769 / -0.0681769 | 0.0636337 / -0.0636337 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | -0.005553 / 0.00555303 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0333379 / -0.0287322 | 0.00883892 / -0.00883895 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 9.01665e-05 / -9.01358e-05 | -0.00024737 / 0.000247382 | 5.81466e-07 / -5.98434e-07 | 0.000211667 / -0.000211657 | 0.000100558 / -0.000100574 | 1.52022e-08 / 1.52022e-08 | -0.00783454 / 0.00783451 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | -2.55292e-05 / 2.55599e-05 | -0.000163033 / 0.000163045 | 0 / 0 | 0.00073381 / -0.0007338 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | -3.83196e-06 / 3.79328e-06 | -7.75761e-05 / 7.75882e-05 | -1.02749e-06 / 1.01052e-06 | 0.000223603 / -0.000223594 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | -0.000425716 / 0.000425746 | 0 / 0 | 0 / 0 | 0.00289087 / -0.00289086 | 0.00712109 / -0.00712105 | -8.51489e-06 / 8.48564e-06 | -0.0109483 / 0.0109483 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -5.82485e-05 / 5.82098e-05 | -0.000178007 / 0.000178019 | 0 / 0 | -7.2593e-05 / 7.26026e-05 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | -2.88566e-05 / 2.88179e-05 | 0.00151727 / -0.00151734 | 0.00261631 / -0.00261622 | 0.000893029 / -0.00089302 | -8.24707e-09 / -8.24707e-09 | 1.52022e-08 / 1.52022e-08 | -1.41205e-08 / -1.41205e-08 | 0 / 0 |
