 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 |
 | PRW | -0.00367243 / 0.00361113 | 0.0251727 / -0.0241234 | -0.00402737 / 0.00410498 | -0.0166644 / 0.0165782 | -0.0857853 / 0.0909847 | 0.00292569 / -0.0028542 | -0.14449 / 0.162398 | -0.123543 / 0.135917 |
 | MUON EFF ISO STAT | 0.00376394 / -0.003764 | 0.00386556 / -0.00386573 | 0.00373282 / -0.00373293 | 0.00402019 / -0.00402029 | 0.00381091 / -0.00381097 | 0.00389949 / -0.00389962 | 0.00144039 / -0.00144035 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00440318 / -0.00440335 | 0.0042223 / -0.00422241 | 0.00439855 / -0.0043987 | 0.00407556 / -0.00407567 | 0.00309174 / -0.00309188 | 0.00421671 / -0.00421686 | 0.00197866 / -0.00197863 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000540316 / -0.000540356 | 0.00060281 / -0.0006028 | 0.000647759 / -0.000647672 | 0.000610353 / -0.000610411 | 0.000226092 / -0.000226109 | 0.000814932 / -0.000814966 | 0.000349212 / -0.000349241 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000397682 / 0.000397642 | -0.000522189 / 0.000522199 | -0.000568507 / 0.000568595 | -0.000508817 / 0.000508825 | -0.000404929 / 0.000404971 | -0.000416424 / 0.000416393 | -0.000290534 / 0.00029059 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00134734 / -0.00134732 | 0.00115599 / -0.00115599 | 0.00136643 / -0.00136646 | 0.00115571 / -0.00115571 | -0.0004182 / 0.000418182 | 0.000927988 / -0.000927964 | 0.000891586 / -0.000891619 | 0 / 0 |
 | MUON EFF Trig Stat | -1.9214e-08 / -1.9214e-08 | -3.67573e-08 / -3.67573e-08 | 4.48472e-08 / 4.48472e-08 | 4.80236e-09 / 4.80236e-09 | -8.1922e-09 / -8.1922e-09 | 1.51011e-08 / 1.51011e-08 | -1.40265e-08 / -1.40265e-08 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0265151 / -0.0265216 | 0.0268327 / -0.0268394 | 0.0269343 / -0.026941 | 0.0292609 / -0.0292688 | 0.0253756 / -0.0253816 | 0.0294136 / -0.0294216 | 0.0102344 / -0.0102354 | 0 / 0 |
 | MUON SCALE | 3.57147e-05 / -3.57531e-05 | -0.00153217 / 0.00153217 | 0 / 0 | -0.000726974 / 0.000726916 | -8.36741e-09 / -7.99953e-09 | 1.5424e-08 / 1.47459e-08 | -1.43265e-08 / -1.36966e-08 | 0 / 0 |
 | MUON CB | -0.00451799 / 0.0045133 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0117405 / -0.0117678 | 0.0104102 / -0.0104319 | 0.0456055 / -0.0459027 | 0 / 0 |
 | MUON SAGITTA DATASTAT | -0.000467336 / 0.000467332 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0342677 / 0.0342489 | 1.67484e-05 / -1.67478e-05 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | -0.000438412 / 0.000438373 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0676807 / -0.0677045 | 0.0631668 / -0.0631878 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | -0.00483345 / 0.00483019 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0288776 / -0.0250038 | 0.00768889 / -0.00769723 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 8.95588e-05 / -8.95285e-05 | -0.000245704 / 0.000245715 | 5.77824e-07 / -5.94648e-07 | 0.000210242 / -0.000210232 | 9.9881e-05 / -9.98974e-05 | 1.46085e-08 / 1.55364e-08 | -0.00778099 / 0.00778065 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | -2.53455e-05 / 2.53758e-05 | -0.000161854 / 0.000161866 | 0 / 0 | 0.000728518 / -0.000728509 | -7.73973e-09 / -8.55668e-09 | 1.4267e-08 / 1.57729e-08 | -1.32518e-08 / -1.46506e-08 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | -3.80629e-06 / 3.76786e-06 | -7.70594e-05 / 7.70713e-05 | -1.02058e-06 / 1.00373e-06 | 0.000222114 / -0.000222105 | -8.12827e-09 / -8.25414e-09 | 1.49832e-08 / 1.52152e-08 | -1.39171e-08 / -1.41326e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | -0.000419903 / 0.000419938 | 0 / 0 | 0 / 0 | 0.00285225 / -0.00285199 | 0.0070287 / -0.0070271 | -8.39606e-06 / 8.36849e-06 | -0.0107885 / 0.0107919 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -5.77623e-05 / 5.77242e-05 | -0.000176519 / 0.00017653 | 0 / 0 | -7.19856e-05 / 7.19951e-05 | -8.60426e-09 / -7.6429e-09 | 1.58606e-08 / 1.40885e-08 | -1.47321e-08 / -1.3086e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | -2.86562e-05 / 2.86179e-05 | 0.00150682 / -0.0015069 | 0.00259834 / -0.00259828 | 0.000886867 / -0.00088686 | -7.83194e-09 / -8.49631e-09 | 1.4437e-08 / 1.56616e-08 | -1.34097e-08 / -1.45472e-08 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.000318927 / 0.000318889 | -0.000102157 / 0.000102169 | 0 / 0 | 0.00114512 / -0.00114511 | -0.0557733 / 0.0557677 | 1.40507e-08 / 1.59181e-08 | -0.00389486 / 0.00389492 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | -0.000188141 / 0.000188103 | 0.00606134 / -0.00606128 | 0 / 0 | 0.00250359 / -0.00250356 | 0.0070661 / -0.00706594 | 1.37263e-08 / 1.60694e-08 | -0.00661983 / 0.00662002 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -6.18488e-05 / 6.18104e-05 | 0.000167159 / -0.000167147 | 0 / 0 | 0.000699707 / -0.000699701 | -8.10544e-09 / -8.27413e-09 | 1.49411e-08 / 1.52521e-08 | -1.3878e-08 / -1.41668e-08 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | -2.54958e-05 / 2.54574e-05 | -0.000188356 / 0.000188368 | 0 / 0 | 0.000727222 / -0.000727215 | -8.00003e-09 / -8.36797e-09 | 1.47468e-08 / 1.54251e-08 | -1.36975e-08 / -1.43275e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | -0.000124719 / 0.000124681 | 0.00073258 / -0.000732654 | 0 / 0 | 0.00261561 / -0.00261562 | 0.00707791 / -0.00707803 | 1.43154e-08 / 1.57542e-08 | -1.32967e-08 / -1.46332e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 2.71103e-05 / -2.71487e-05 | -0.000106806 / 0.000106817 | -1.86008e-05 / 1.85839e-05 | -0.000152124 / 0.000152134 | -8.21692e-09 / -8.16661e-09 | 1.51466e-08 / 1.50539e-08 | -1.40688e-08 / -1.39827e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -2.65093e-05 / 2.65395e-05 | 4.23329e-05 / -4.23211e-05 | 0 / 0 | 0.000273872 / -0.000273863 | -8.62263e-09 / -7.63447e-09 | 1.58945e-08 / 1.4073e-08 | -1.47635e-08 / -1.30716e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -1.85395e-05 / 1.85699e-05 | -0.000163211 / 0.000163137 | -0.000308699 / 0.000308682 | -0.000124577 / 0.000124586 | -8.40919e-09 / -7.94824e-09 | 1.5501e-08 / 1.46513e-08 | -1.43981e-08 / -1.36088e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -1.37221e-05 / 1.36837e-05 | -0.000219904 / 0.000219915 | -1.46589e-05 / 1.4642e-05 | 0.000724891 / -0.00072495 | -8.28446e-09 / -8.09545e-09 | 1.52711e-08 / 1.49227e-08 | -1.41845e-08 / -1.38609e-08 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | -1.88169e-05 / 1.88473e-05 | 5.49274e-05 / -5.49155e-05 | 0 / 0 | 0.000670705 / -0.000670698 | -7.99379e-09 / -8.37279e-09 | 1.47353e-08 / 1.54339e-08 | -1.36868e-08 / -1.43357e-08 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | -4.50528e-05 / 4.50159e-05 | 0.00608898 / -0.00608783 | 0 / 0 | 0.00436074 / -0.00436015 | 9.97459e-05 / -9.97613e-05 | 1.23781e-08 / 1.66338e-08 | -0.000241364 / 0.000241339 | 0 / 0 |
