 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.00339994 / -0.00339994 | 0.00732677 / 0.00732677 | 0.00159357 / 0.00159357 | -0.00261308 / -0.00261308 | 0.00560225 / 0.00560225 | 0.00820115 / 0.00820115 | -0.127962 / -0.127962 |
 | MUON EFF ISO STAT | 0.00390962 / -0.00390966 | 0.00370575 / -0.00370574 | 0.00385588 / -0.00385587 | 0.00386737 / -0.00386741 | 0.00369921 / -0.00369925 | 0.0037899 / -0.00378996 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00431686 / -0.0043169 | 0.00450476 / -0.00450475 | 0.00436783 / -0.00436782 | 0.00435936 / -0.00435933 | 0.00451828 / -0.00451832 | 0.00443136 / -0.00443133 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000570319 / -0.000570353 | 0.000623035 / -0.000623021 | 0.000563568 / -0.000563564 | 0.000565849 / -0.000565817 | 0.000578683 / -0.000578632 | 0.000578233 / -0.000578208 | 0 / 0 |
 | MUON EFF RECO SYS | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000525164 / 0.000525196 | -0.000548783 / 0.000548796 | -0.000489337 / 0.000489342 | -0.000478918 / 0.000478877 | -0.000454308 / 0.000454265 | -0.000466704 / 0.000466729 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00131068 / -0.00131065 | 0.00137187 / -0.00137186 | 0.00131539 / -0.00131539 | 0.00132827 / -0.00132823 | 0.00140227 / -0.00140231 | 0.00131598 / -0.00131604 | 0 / 0 |
 | MUON EFF Trig Stat | -1.69889e-08 / -1.69889e-08 | 6.81613e-09 / 6.81613e-09 | -3.78826e-08 / -3.78826e-08 | -2.0519e-08 / -2.0519e-08 | -2.18203e-08 / -2.18203e-08 | -2.81911e-08 / -2.81911e-08 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0300593 / -0.0300592 | 0.0318868 / -0.0318868 | 0.0286929 / -0.0286929 | 0.0278735 / -0.0278734 | 0.0266751 / -0.0266751 | 0.0269178 / -0.0269177 | 0 / 0 |
 | MUON SCALE | -0.000481907 / 0.000481873 | -0.000155512 / 0.000155525 | 6.94489e-05 / -6.94443e-05 | -0.00130805 / 0.00130808 | -0.000816458 / 0.000816414 | 0.000640777 / -0.000640752 | 0 / 0 |
 | MUON CB | 0.0167442 / -0.0167442 | 0.0401325 / -0.0401325 | 0.00521147 / -0.00521147 | 0.00217722 / -0.00217722 | 0.0102012 / -0.0102012 | 0.000393612 / -0.000393612 | 0 / 0 |
 | MUON SAGITTA DATASTAT | -4.79394e-05 / 4.79394e-05 | 0 / 0 | 0.000213564 / -0.000213564 | -0.000190716 / 0.000190716 | 0.000368527 / -0.000368527 | 0 / 0 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -0.00321388 / 0.00321388 | -0.00867499 / 0.00867499 | -0.000404427 / 0.000404427 | -0.0038511 / 0.0038511 | -0.00289656 / 0.00289656 | -0.00500024 / 0.00500024 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00377882 / 0.00377882 | -0.0090398 / 0.0090398 | -0.00113954 / 0.00113954 | -0.00384802 / 0.00384802 | -0.00360109 / 0.00360109 | 0.000901685 / -0.000901685 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00455701 / 0.00455701 | -0.0100806 / 0.0100806 | -0.00183336 / 0.00183336 | -0.00281277 / 0.00281277 | -0.00483591 / 0.00483591 | -0.00225446 / 0.00225446 | 0 / 0 |
 | JET_BJES_Response | -0.000105859 / 0.000105892 | 0.00014951 / -0.000149496 | -4.29545e-06 / 4.30002e-06 | -0.000372049 / 0.000372081 | 0.00507891 / -0.00507896 | 0.00110818 / -0.00110816 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00115898 / -0.00115895 | 0.00104932 / -0.0010493 | 0.000490627 / -0.000490623 | 0.000947168 / -0.000947136 | 0.00124049 / -0.00124053 | 0.00106158 / -0.00106156 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000191539 / -0.000191573 | -0.00018999 / 0.000190003 | 6.84849e-05 / -6.84804e-05 | 0.000262506 / -0.000262474 | -5.10396e-06 / 5.15443e-06 | -2.75993e-05 / 2.75429e-05 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.00755852 / -0.00755849 | 0.0083614 / -0.00836139 | 0.00510857 / -0.00510856 | 0.00836287 / -0.00836284 | 0.00928899 / -0.00928894 | 0.00783684 / -0.00783689 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.00343856 / 0.00343853 | -0.00372804 / 0.00372805 | -0.00160097 / 0.00160097 | -0.00246839 / 0.00246835 | -0.00363591 / 0.00363587 | -0.00277414 / 0.00277408 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00135047 / -0.00135051 | 0.00112333 / -0.00112332 | 0.000768735 / -0.00076873 | 0.000954848 / -0.000954889 | 0.000984595 / -0.000984544 | 0.000940399 / -0.000940374 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.0073707 / -0.00737067 | 0.00720587 / -0.00720586 | 0.00396914 / -0.00396914 | 0.00468611 / -0.00468608 | 0.00942132 / -0.00942136 | 0.00576364 / -0.00576369 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0.00567349 / -0.00567352 | 0.00542584 / -0.00542583 | 0.003663 / -0.003663 | 0.0051326 / -0.00513264 | 0.00638587 / -0.00638582 | 0.00473781 / -0.00473779 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -0.000425386 / 0.000425419 | -0.000150083 / 0.000150097 | -0.00016528 / 0.000165284 | -0.000750808 / 0.00075084 | -0.000869443 / 0.0008694 | -7.18432e-05 / 7.18682e-05 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0.00106147 / -0.00106151 | 0.00112832 / -0.00112831 | 0.000511674 / -0.000511669 | 0.00107379 / -0.00107375 | 0.00188724 / -0.00188719 | 0.000935275 / -0.00093525 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.00424408 / -0.00424411 | 0.00427148 / -0.00427147 | 0.00261395 / -0.00261395 | 0.00384316 / -0.00384312 | 0.00533104 / -0.00533099 | 0.00366075 / -0.00366072 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | -0.000153115 / 0.000153148 | -0.000497066 / 0.000497079 | -4.16496e-05 / 4.16542e-05 | 0.000743598 / -0.000743566 | 0.000313565 / -0.000313514 | -0.000216693 / 0.000216718 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | -0.00223677 / 0.00223674 | -0.00226514 / 0.00226515 | -0.00125088 / 0.00125088 | -0.00140299 / 0.00140302 | -0.00291867 / 0.00291872 | -0.00193196 / 0.00193198 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | -0.000188241 / 0.000188273 | -7.51849e-05 / 7.51986e-05 | -0.000402097 / 0.000402102 | 5.17296e-06 / -5.14085e-06 | -0.000100723 / 0.000100774 | -0.000651731 / 0.000651756 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | -0.000153982 / 0.000153948 | 5.53186e-05 / -5.5305e-05 | -0.000269309 / 0.000269314 | 2.12654e-05 / -2.13065e-05 | 6.72694e-05 / -6.73131e-05 | 9.53727e-05 / -9.53478e-05 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0.000561521 / -0.000561555 | 0.000354472 / -0.000354458 | 0.000327634 / -0.00032763 | 0.000497018 / -0.000497059 | 0.000615575 / -0.000615525 | 0.000383202 / -0.000383177 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.00987526 / -0.00987523 | 0.00970627 / -0.00970626 | 0.00452616 / -0.00452616 | 0.00936975 / -0.00936972 | 0.0109687 / -0.0109688 | 0.0061341 / -0.00613407 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0.0565967 / -0.0565968 | 0.0569934 / -0.0569934 | 0.0290515 / -0.0290516 | 0.0602652 / -0.0602652 | 0.0657522 / -0.0657522 | 0.045089 / -0.045089 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.00103728 / -0.00103731 | 0.000944929 / -0.000944915 | 0.000582928 / -0.000582924 | 5.52791e-05 / -5.53201e-05 | 0.00265332 / -0.00265337 | 0.000588562 / -0.000588619 | 0 / 0 |
 | JET_Flavor_Composition | 0.0130861 / -0.013086 | 0.0125124 / -0.0125123 | 0.00459517 / -0.00459516 | 0.00737121 / -0.00737118 | 0.011186 / -0.011186 | 0.00720441 / -0.00720438 | 0 / 0 |
 | JET_Flavor_Response | -0.0150006 / 0.0150006 | -0.014299 / 0.0142989 | -0.00605985 / 0.00605985 | -0.00743555 / 0.00743551 | -0.0110786 / 0.0110786 | -0.00674389 / 0.00674383 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0652794 / 0.0652795 | -0.0664242 / 0.0664242 | -0.0397203 / 0.0397203 | -0.0692774 / 0.0692774 | -0.0680269 / 0.068027 | -0.0618754 / 0.0618754 | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | -0.00172169 / 0.00172166 | -0.00563284 / 0.00563286 | -0.00201764 / 0.00201765 | -0.000809106 / 0.000809138 | 0.000645692 / -0.000645641 | -0.000847413 / 0.000847438 | 0 / 0 |
 | JET_JER_EffectiveNP_10 | -0.00214959 / 0.00214959 | 0.000726909 / -0.000726909 | 2.13303e-05 / -2.13303e-05 | 0.00152401 / -0.00152401 | 0.00314196 / -0.00314196 | -0.0019409 / 0.0019409 | 0 / 0 |
 | JET_JER_EffectiveNP_11 | -0.000740448 / 0.000740481 | 0.000731604 / -0.00073159 | 0.000671132 / -0.000671128 | 0.00143375 / -0.00143379 | 0.00613675 / -0.0061367 | 0.00254725 / -0.00254722 | 0 / 0 |
 | JET_JER_EffectiveNP_12restTerm | 0.00326387 / -0.00326387 | -0.000237759 / 0.000237759 | 0.000117322 / -0.000117322 | -0.000819891 / 0.000819891 | -0.00453447 / 0.00453447 | 0.00342706 / -0.00342706 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.00143136 / 0.00143132 | -0.00320199 / 0.003202 | -0.000124471 / 0.000124476 | 0.000185043 / -0.000185011 | 0.00441457 / -0.00441452 | 0.0010458 / -0.00104578 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0.00619337 / -0.00619334 | 0.00583723 / -0.00583722 | 0.00275196 / -0.00275196 | 0.00469737 / -0.00469734 | 0.00955317 / -0.00955321 | 0.00559992 / -0.00559989 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0.00059698 / -0.000596947 | 0.000141881 / -0.000141867 | -0.000620197 / 0.000620202 | -0.00238076 / 0.00238079 | 0.00543833 / -0.00543838 | -0.00306953 / 0.00306947 | 0 / 0 |
 | JET_NNJvtEfficiency | 0.0167887 / -0.0167886 | 0.0171008 / -0.0171009 | 0.0198505 / -0.0198505 | 0.03001 / -0.03001 | 0.023183 / -0.0231829 | 0.0329018 / -0.0329018 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0.00550706 / -0.00550709 | 0.0104482 / -0.0104482 | 0.0016131 / -0.0016131 | 0.0018294 / -0.00182937 | 0.00676242 / -0.00676246 | 0.00480231 / -0.00480228 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0.00835794 / -0.00835791 | 0.0084732 / -0.00847319 | 0.00346836 / -0.00346835 | 0.00425527 / -0.00425531 | 0.0122542 / -0.0122542 | 0.00513357 / -0.00513362 | 0 / 0 |
 | JET_Pileup_PtTerm | 0.00811133 / -0.0081113 | 0.00879495 / -0.00879493 | 0.00444888 / -0.00444896 | 0.0056717 / -0.00567167 | 0.0105269 / -0.0105268 | 0.00527728 / -0.00527725 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0.00619144 / -0.0061914 | 0.00546714 / -0.00546713 | 0.00235086 / -0.00235086 | 0.00193898 / -0.00193894 | 0.0103671 / -0.0103671 | 0.00128557 / -0.00128554 | 0 / 0 |
 | JET_SingleParticle_HighPt | -4.16898e-07 / 3.8292e-07 | 5.93678e-07 / -6.53404e-07 | 1.40809e-06 / -1.40352e-06 | -2.0519e-08 / -2.0519e-08 | -2.18203e-08 / -2.18203e-08 | -2.81911e-08 / -2.81911e-08 | 0 / 0 |
 | MUF_Wjets | -0.256001 / 0.256001 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | -0.193626 / 0.193626 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | -0.0240417 / 0.0240417 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0.0112197 / -0.0112197 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0.000475108 / -0.000475108 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.243683 / 0.243683 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | -0.19088 / 0.19088 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | -0.0250056 / 0.0250056 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0.0133436 / -0.0133436 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0.00251492 / -0.00251492 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA PTEXTRA | 0 / 0 | 0 / 0 | -0.00185899 / 0.00185899 | 0.000813966 / -0.000813934 | -0.00164287 / 0.00164283 | 0 / 0 | 0 / 0 |
 | MUON SAGITTA RESBIAS | 0 / 0 | 0 / 0 | -8.96879e-05 / 8.96924e-05 | -0.00205115 / 0.00205118 | 0.00543137 / -0.00543141 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.2 / -0.2 |
 | gamma_stat_Wjets_CR_bin_0 | 0.00214993 / -0.00214993 | 0.00218047 / -0.00218047 | 0.00190817 / -0.00190817 | 0.00217092 / -0.00217092 | 0.00213476 / -0.00213476 | 0.00211817 / -0.00211817 | 0.00089029 / -0.00089029 |
 | gamma_stat_Wjets_CR_bin_1 | 0.00184678 / -0.00184678 | 0.00190407 / -0.00190407 | 0.00171025 / -0.00171025 | 0.00186211 / -0.00186211 | 0.00194492 / -0.00194492 | 0.00181254 / -0.00181254 | 0.000684927 / -0.000684927 |
 | gamma_stat_Wjets_CR_bin_2 | 0.00171128 / -0.00171128 | 0.00172469 / -0.00172469 | 0.00164057 / -0.00164057 | 0.00180824 / -0.00180824 | 0.00170587 / -0.00170587 | 0.00193277 / -0.00193277 | 0.00175145 / -0.00175145 |
 | gamma_stat_Wjets_CR_bin_3 | 0.00170108 / -0.00170108 | 0.00166814 / -0.00166814 | 0.00178857 / -0.00178857 | 0.00180501 / -0.00180501 | 0.00159778 / -0.00159778 | 0.00149864 / -0.00149864 | 0.00678376 / -0.00678376 |
 | gamma_stat_Wjets_CR_bin_4 | 0.00116785 / -0.00116785 | 0.00117632 / -0.00117632 | 0.00119181 / -0.00119181 | 0.00116197 / -0.00116197 | 0.00124799 / -0.00124799 | 0.00105351 / -0.00105351 | 0.000145739 / -0.000145739 |
 | gamma_stat_Wjets_CR_bin_5 | 0.0010621 / -0.0010621 | 0.000954641 / -0.000954641 | 0.00101911 / -0.00101911 | 0.000990283 / -0.000990283 | 0.00111107 / -0.00111107 | 0.00110476 / -0.00110476 | 0.00161493 / -0.00161493 |
 | gamma_stat_Wjets_CR_bin_6 | 0.00102476 / -0.00102476 | 0.00106299 / -0.00106299 | 0.00110242 / -0.00110242 | 0.00101434 / -0.00101434 | 0.00108234 / -0.00108234 | 0.00106634 / -0.00106634 | 0.000622676 / -0.000622676 |
 | gamma_stat_Wjets_CR_bin_7 | 0.000817227 / -0.000817227 | 0.000846594 / -0.000846594 | 0.000921844 / -0.000921844 | 0.000835213 / -0.000835213 | 0.000800251 / -0.000800251 | 0.000903294 / -0.000903294 | 0.000217983 / -0.000217983 |
 | gamma_stat_Wjets_CR_bin_8 | 0.000723435 / -0.000723435 | 0.000703734 / -0.000703734 | 0.000845284 / -0.000845284 | 0.000663131 / -0.000663131 | 0.000808376 / -0.000808376 | 0.000869336 / -0.000869336 | 0.000858703 / -0.000858703 |
 | gamma_stat_Wjets_CR_bin_9 | 0.000624559 / -0.000624559 | 0.000588354 / -0.000588354 | 0.000736318 / -0.000736318 | 0.000645325 / -0.000645325 | 0.000762448 / -0.000762448 | 0.000622358 / -0.000622358 | 0.000773268 / -0.000773268 |
 | gamma_stat_Wjets_CR_bin_10 | 0.000562858 / -0.000562858 | 0.000512823 / -0.000512823 | 0.000611904 / -0.000611904 | 0.000492716 / -0.000492716 | 0.000489765 / -0.000489765 | 0.000377358 / -0.000377358 | 8.29799e-05 / -8.29799e-05 |
 | gamma_stat_Wjets_CR_bin_11 | 0.000439613 / -0.000439613 | 0.000496754 / -0.000496754 | 0.00051826 / -0.00051826 | 0.000481429 / -0.000481429 | 0.000415451 / -0.000415451 | 0.000376238 / -0.000376238 | 0.000255539 / -0.000255539 |
 | gamma_stat_Wjets_CR_bin_12 | 0.000417987 / -0.000417987 | 0.00044532 / -0.00044532 | 0.000493373 / -0.000493373 | 0.000350184 / -0.000350184 | 0.000330602 / -0.000330602 | 0.000485011 / -0.000485011 | 3.36127e-06 / -3.36127e-06 |
 | gamma_stat_Wjets_CR_bin_13 | 0.00040883 / -0.00040883 | 0.000379466 / -0.000379466 | 0.000483081 / -0.000483081 | 0.000349236 / -0.000349236 | 0.000344045 / -0.000344045 | 0.00042665 / -0.00042665 | 0.000194892 / -0.000194892 |
 | gamma_stat_Wjets_CR_bin_14 | 0.000394805 / -0.000394805 | 0.000380103 / -0.000380103 | 0.000490035 / -0.000490035 | 0.000337685 / -0.000337685 | 0.000278181 / -0.000278181 | 0.000277217 / -0.000277217 | 0.00266896 / -0.00266896 |
 | gamma_stat_Wjets_CR_bin_15 | 0.000312094 / -0.000312094 | 0.000288298 / -0.000288298 | 0.000407694 / -0.000407694 | 0.000274917 / -0.000274917 | 0.000120429 / -0.000120429 | 0.000498539 / -0.000498539 | 0.000100316 / -0.000100316 |
 | gamma_stat_Wjets_CR_bin_16 | 0.000260967 / -0.000260967 | 0.000251958 / -0.000251958 | 0.00035552 / -0.00035552 | 0.000263395 / -0.000263395 | 0.000115059 / -0.000115059 | 0.000249104 / -0.000249104 | 2.31073e-06 / -2.31073e-06 |
 | gamma_stat_Wjets_CR_bin_17 | 0.000231772 / -0.000231772 | 0.000236436 / -0.000236436 | 0.000295035 / -0.000295035 | 0.000150044 / -0.000150044 | 0.000219817 / -0.000219817 | 0.000277858 / -0.000277858 | 0.000242879 / -0.000242879 |
 | gamma_stat_Wjets_CR_bin_18 | 0.000218577 / -0.000218577 | 0.000168398 / -0.000168398 | 0.000243022 / -0.000243022 | 0.000149996 / -0.000149996 | 0.000168747 / -0.000168747 | 0.000161969 / -0.000161969 | 0.000422142 / -0.000422142 |
