 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 |
 | PRW | -0.00230299 / 0.00226179 | 0.0049861 / -0.0048653 | 0.00106781 / -0.00104557 | -0.0017803 / 0.00174763 | 0.00381671 / -0.0037281 | 0.00555697 / -0.00541962 | -0.0888575 / 0.0945107 |
 | MUON EFF ISO STAT | 0.00388352 / -0.00388365 | 0.00368112 / -0.0036812 | 0.00383015 / -0.00383024 | 0.00384151 / -0.00384164 | 0.00367447 / -0.0036746 | 0.00376455 / -0.0037647 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00428753 / -0.00428769 | 0.00447405 / -0.00447417 | 0.00433813 / -0.00433826 | 0.00432977 / -0.00432987 | 0.00448761 / -0.00448779 | 0.00440129 / -0.0044014 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000566522 / -0.000566558 | 0.000618869 / -0.000618858 | 0.000559816 / -0.000559813 | 0.000562075 / -0.000562045 | 0.000574854 / -0.000574807 | 0.000574387 / -0.000574365 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000521663 / 0.000521694 | -0.000545133 / 0.000545145 | -0.000486081 / 0.000486084 | -0.000475722 / 0.00047568 | -0.000451282 / 0.000451238 | -0.000463614 / 0.000463637 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00130194 / -0.00130192 | 0.00136272 / -0.00136272 | 0.00130664 / -0.00130665 | 0.0013194 / -0.00131938 | 0.00139295 / -0.001393 | 0.00130732 / -0.00130739 | 0 / 0 |
 | MUON EFF Trig Stat | -1.68759e-08 / -1.68759e-08 | 6.77078e-09 / 6.77078e-09 | -3.76305e-08 / -3.76305e-08 | -2.03825e-08 / -2.03825e-08 | -2.16751e-08 / -2.16751e-08 | -2.80036e-08 / -2.80036e-08 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0297701 / -0.0297783 | 0.0315832 / -0.0315923 | 0.0284174 / -0.0284249 | 0.0276048 / -0.0276118 | 0.0264169 / -0.0264234 | 0.0266598 / -0.0266663 | 0 / 0 |
 | MUON SCALE | -0.000478008 / 0.000477973 | -0.000153519 / 0.000153532 | 6.89799e-05 / -6.89754e-05 | -0.00129985 / 0.00129987 | -0.000811118 / 0.000811071 | 0.000637188 / -0.000637166 | 0 / 0 |
 | MUON CB | 0.00383364 / -0.00383677 | 0.00928912 / -0.0093066 | 0.00118771 / -0.00118802 | 0.000493794 / -0.000493848 | 0.00233503 / -0.0023362 | 8.90119e-05 / -8.90137e-05 | 0 / 0 |
 | MUON SAGITTA DATASTAT | -4.76575e-05 / 4.76575e-05 | 0 / 0 | 0.000210208 / -0.000210209 | -0.000187742 / 0.000187741 | 0.000366924 / -0.000366926 | 0 / 0 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | -0.00316263 / 0.00316313 | -0.00852363 / 0.00852716 | -0.00039746 / 0.000397468 | -0.00378308 / 0.00378379 | -0.00284525 / 0.00284565 | -0.0049086 / 0.00490978 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00374803 / 0.00374796 | -0.00896624 / 0.00896582 | -0.00112979 / 0.00112979 | -0.0038134 / 0.00381333 | -0.00357083 / 0.00357076 | 0.000890642 / -0.000890646 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00452474 / 0.00452459 | -0.00999908 / 0.00999838 | -0.00181992 / 0.0018199 | -0.00279106 / 0.002791 | -0.00480059 / 0.00480043 | -0.00223709 / 0.00223705 | 0 / 0 |
 | JET_BJES_Response | -0.000105458 / 0.00010549 | 0.000148708 / -0.000148695 | -4.19432e-06 / 4.19881e-06 | -0.000370963 / 0.000370994 | 0.00504596 / -0.00504613 | 0.00110064 / -0.00110062 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.00114895 / -0.00114892 | 0.00104051 / -0.0010405 | 0.000487086 / -0.000487082 | 0.000941007 / -0.000940977 | 0.00123309 / -0.00123314 | 0.00105373 / -0.00105371 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000190004 / -0.000190038 | -0.000189559 / 0.000189573 | 6.79278e-05 / -6.79235e-05 | 0.000261227 / -0.000261195 | -5.0817e-06 / 5.13178e-06 | -2.74466e-05 / 2.73904e-05 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.00745817 / -0.00745638 | 0.00825119 / -0.00824902 | 0.0050409 / -0.0050401 | 0.00825122 / -0.00824903 | 0.00916971 / -0.00916699 | 0.00775594 / -0.00775418 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.00340745 / 0.0034074 | -0.00369377 / 0.00369376 | -0.00158709 / 0.00158709 | -0.00245236 / 0.00245231 | -0.00360553 / 0.00360547 | -0.00275572 / 0.00275564 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00134001 / -0.00134005 | 0.00111456 / -0.00111455 | 0.00076351 / -0.000763508 | 0.000948636 / -0.00094868 | 0.000975488 / -0.000975443 | 0.000932782 / -0.00093276 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00731891 / -0.00731884 | 0.00715261 / -0.00715257 | 0.00394184 / -0.00394182 | 0.00465427 / -0.00465422 | 0.00937087 / -0.00937085 | 0.00572771 / -0.00572775 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0.00562525 / -0.00562517 | 0.00537664 / -0.00537653 | 0.00363256 / -0.00363251 | 0.00508885 / -0.0050888 | 0.00633762 / -0.00633743 | 0.00470005 / -0.00469995 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | -0.000422827 / 0.000422858 | -0.000148956 / 0.00014897 | -0.000164339 / 0.000164343 | -0.000744775 / 0.000744802 | -0.000867412 / 0.000867363 | -7.11128e-05 / 7.11375e-05 | 0 / 0 |
 | JET_EffectiveNP_Modelling4 | 0.00105354 / -0.00105358 | 0.00111972 / -0.00111971 | 0.000508254 / -0.000508251 | 0.00106711 / -0.00106709 | 0.0018795 / -0.00187947 | 0.000928895 / -0.000928876 | 0 / 0 |
 | JET_EffectiveNP_Statistical1 | 0.00421503 / -0.0042151 | 0.00423831 / -0.00423834 | 0.00259524 / -0.00259525 | 0.00381891 / -0.00381891 | 0.00529825 / -0.00529826 | 0.00364046 / -0.00364047 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | -0.000152196 / 0.000152228 | -0.000492696 / 0.000492707 | -4.13711e-05 / 4.13756e-05 | 0.000738882 / -0.000738854 | 0.000311861 / -0.000311812 | -0.000215738 / 0.000215762 | 0 / 0 |
