 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | PRW | -0.0120929 / -0.0120929 | 0.00574822 / 0.00574822 | -0.00824658 / -0.00824658 | 0.00285895 / 0.00285895 | 0.147187 / 0.147187 | 0.0475852 / 0.0475852 | 0.292948 / 0.292948 |
 | MUON EFF ISO STAT | 0.00390218 / -0.0039022 | 0.00373661 / -0.00373657 | 0.00396688 / -0.0039669 | 0.00412368 / -0.00412364 | 0.00345034 / -0.0034503 | 0.00430354 / -0.0043035 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00432054 / -0.00432055 | 0.00447973 / -0.00447969 | 0.00426653 / -0.00426647 | 0.0041195 / -0.00411953 | 0.00474776 / -0.00474772 | 0.0039198 / -0.00391976 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000563607 / -0.000563622 | 0.000725375 / -0.000725331 | 0.000564472 / -0.000564501 | 0.000542224 / -0.000542254 | 0.000467349 / -0.000467406 | 0.000618212 / -0.000618239 | 0 / 0 |
 | MUON EFF RECO SYS | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0.01 / 0.01 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000539713 / 0.000539698 | -0.000574913 / 0.000574957 | -0.000502896 / 0.000502868 | -0.000515504 / 0.000515474 | -0.000435029 / 0.000435064 | -0.000486696 / 0.000486734 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00127058 / -0.00127059 | 0.0016096 / -0.00160955 | 0.00126456 / -0.00126458 | 0.00110752 / -0.00110755 | 0.00120421 / -0.00120418 | 0.0010895 / -0.00108953 | 0 / 0 |
 | MUON EFF Trig Stat | -7.45882e-09 / -7.45882e-09 | -3.57615e-08 / -3.57615e-08 | -1.41835e-08 / -1.41835e-08 | -1.47815e-08 / -1.47815e-08 | 1.79711e-08 / 1.79711e-08 | -1.31197e-08 / -1.31197e-08 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0265125 / -0.0265125 | 0.0289327 / -0.0289326 | 0.0289019 / -0.0289019 | 0.0264083 / -0.0264083 | 0.0260129 / -0.0260129 | 0.0319812 / -0.0319812 | 0 / 0 |
 | MUON SCALE | 0.000925445 / -0.00092536 | -0.000275802 / 0.000275731 | 7.49828e-05 / -7.49275e-05 | 0.000137709 / -0.000137739 | 1.79711e-08 / 1.79711e-08 | 0.00551171 / -0.00551174 | 0 / 0 |
 | MUON CB | 0.0665834 / -0.0665834 | 0.17626 / -0.17626 | 0.0226093 / -0.0226093 | -0.00601779 / 0.00601779 | -0.0169412 / 0.0169412 | 0.128657 / -0.128657 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0.00637632 / -0.00637632 | 0 / 0 | 0.000367521 / -0.000367521 | 0.00207642 / -0.00207642 | -0.0266758 / 0.0266758 | 0 / 0 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | 0.00126067 / -0.00126067 | 0.000136352 / -0.000136352 | -0.00291527 / 0.00291527 | -0.020545 / 0.020545 | 1.79711e-08 / -1.79711e-08 | 0.0164032 / -0.0164032 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.00345813 / 0.00345813 | -0.00241558 / 0.00241558 | -0.00878889 / 0.00878889 | -0.0180611 / 0.0180611 | 1.79711e-08 / -1.79711e-08 | 0.0124244 / -0.0124244 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00124228 / 0.00124228 | -0.00802295 / 0.00802295 | -0.00335956 / 0.00335956 | -1.47815e-08 / 1.47815e-08 | 1.79711e-08 / -1.79711e-08 | -1.31197e-08 / 1.31197e-08 | 0 / 0 |
 | JET_BJES_Response | 0.000541499 / -0.000541514 | -0.000857694 / 0.000857738 | -0.000290209 / 0.000290264 | 0.000681722 / -0.000681681 | 0.0399533 / -0.0399533 | -0.00202701 / 0.00202698 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.000744076 / -0.000744091 | 0.000176717 / -0.000176673 | 0.000597367 / -0.000597312 | -0.000195638 / 0.000195679 | 0.000216239 / -0.000216203 | 2.6012e-05 / -2.60382e-05 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000709563 / -0.000709478 | -0.000331116 / 0.000331045 | 9.44414e-06 / -9.47251e-06 | 2.04292e-06 / -2.00152e-06 | 1.79711e-08 / 1.79711e-08 | -1.31197e-08 / -1.31197e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.0162191 / -0.016219 | 0.0179992 / -0.0179993 | 0.0107783 / -0.0107782 | 0.025594 / -0.025594 | 0.0285291 / -0.028529 | 0.00318594 / -0.0031859 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.000156067 / 0.000156052 | 0.000650741 / -0.000650697 | 0.00084613 / -0.000846158 | 0.000178012 / -0.00017797 | 0.0183114 / -0.0183114 | 0.00121595 / -0.00121591 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00275034 / -0.00275036 | 0.000519297 / -0.000519254 | 0.00151851 / -0.00151854 | 2.04292e-06 / -2.00152e-06 | 0.000165812 / -0.000165869 | -0.0017196 / 0.00171958 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00829345 / -0.00829347 | 0.00995193 / -0.009952 | 0.00850804 / -0.00850807 | -0.000998424 / 0.000998395 | 0.000622536 / -0.000622593 | -0.00607649 / 0.00607647 | 0 / 0 |
