 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 |
 | PRW | -0.00822358 / 0.00811921 | 0.00389529 / -0.0038046 | -0.0056037 / 0.00551965 | 0.00193847 / -0.00189662 | 0.0971508 / -0.0876218 | 0.0319872 / -0.0304832 | 0.18865 / -0.15817 |
 | MUON EFF ISO STAT | 0.00387612 / -0.00387624 | 0.00371166 / -0.0037117 | 0.00394038 / -0.00394052 | 0.00409614 / -0.00409622 | 0.0034273 / -0.00342734 | 0.0042748 / -0.00427488 | 0 / 0 |
 | MUON EFF ISO SYS | 0.00429119 / -0.00429132 | 0.00444929 / -0.00444938 | 0.00423754 / -0.00423761 | 0.00409151 / -0.00409165 | 0.0047155 / -0.00471561 | 0.00389316 / -0.00389323 | 0 / 0 |
 | MUON EFF RECO STAT | 0.000559855 / -0.000559872 | 0.000720544 / -0.000720505 | 0.000560714 / -0.000560744 | 0.000538614 / -0.000538645 | 0.000464237 / -0.000464295 | 0.000614096 / -0.000614125 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000536124 / 0.000536107 | -0.00057109 / 0.000571131 | -0.000499551 / 0.000499521 | -0.000512075 / 0.000512044 | -0.000432135 / 0.00043217 | -0.000483459 / 0.000483495 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00126212 / -0.00126214 | 0.00159888 / -0.00159885 | 0.00125613 / -0.00125617 | 0.00110015 / -0.00110019 | 0.00119619 / -0.00119617 | 0.00108224 / -0.00108228 | 0 / 0 |
 | MUON EFF Trig Stat | -7.40919e-09 / -7.40919e-09 | -3.55236e-08 / -3.55236e-08 | -1.40891e-08 / -1.40891e-08 | -1.46832e-08 / -1.46832e-08 | 1.78516e-08 / 1.78516e-08 | -1.30324e-08 / -1.30324e-08 | 0 / 0 |
 | MUON EFF Trig Syst | 0.0262569 / -0.0262633 | 0.0286539 / -0.0286614 | 0.0286234 / -0.028631 | 0.0261537 / -0.0261601 | 0.0257621 / -0.0257683 | 0.0316732 / -0.0316824 | 0 / 0 |
 | MUON SCALE | 0.000919185 / -0.000919105 | -0.000273941 / 0.00027387 | 7.4477e-05 / -7.44221e-05 | 0.000136779 / -0.000136808 | 1.82333e-08 / 1.74317e-08 | 0.00547406 / -0.00547426 | 0 / 0 |
 | MUON CB | 0.0155991 / -0.0156456 | 0.043557 / -0.0438338 | 0.00519229 / -0.00519796 | -0.00136473 / 0.00136431 | -0.0038239 / 0.00382056 | 0.031045 / -0.031204 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0.00627595 / -0.00627657 | 0 / 0 | 0.000361746 / -0.000361748 | 0.00204377 / -0.00204384 | -0.0262601 / 0.026249 | 0 / 0 | 0 / 0 |
 | MET_SoftTrk_ResoPerp | 0.00123909 / -0.00123901 | 0.000134 / -0.000133999 | -0.00286394 / 0.00286434 | -0.0201418 / 0.0201611 | 1.76608e-08 / -1.76608e-08 | 0.0161516 / -0.0161382 | 0 / 0 |
 | MET_SoftTrk_ResoPara | -0.0034284 / 0.00342834 | -0.00239486 / 0.00239483 | -0.00871245 / 0.00871206 | -0.0179009 / 0.0178991 | 1.78178e-08 / -1.78178e-08 | 0.0123214 / -0.0123221 | 0 / 0 |
 | MET_SoftTrk_Scale | -0.00123318 / 0.00123316 | -0.00796391 / 0.00796347 | -0.00333491 / 0.00333483 | -1.46733e-08 / 1.46733e-08 | 1.78395e-08 / -1.78395e-08 | -1.30236e-08 / 1.30236e-08 | 0 / 0 |
 | JET_BJES_Response | 0.000537856 / -0.000537872 | -0.000851909 / 0.000851949 | -0.000288254 / 0.000288309 | 0.000677136 / -0.000677097 | 0.0397054 / -0.039712 | -0.00201331 / 0.00201326 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0.000738711 / -0.000738727 | 0.000175439 / -0.000175396 | 0.000593056 / -0.000593002 | -0.000194224 / 0.000194265 | 0.000214676 / -0.00021464 | 2.58247e-05 / -2.58506e-05 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0.000704836 / -0.000704755 | -0.00032891 / 0.000328839 | 9.38134e-06 / -9.40952e-06 | 2.02915e-06 / -1.98804e-06 | 1.77122e-08 / 1.79865e-08 | -1.29307e-08 / -1.31309e-08 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0.0160222 / -0.0160138 | 0.0177837 / -0.0177734 | 0.0106421 / -0.0106384 | 0.0253057 / -0.0252844 | 0.0282155 / -0.0281888 | 0.00314346 / -0.00314311 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | -0.000154763 / 0.000154748 | 0.000645286 / -0.000645244 | 0.000839029 / -0.000839059 | 0.000176523 / -0.000176482 | 0.0181481 / -0.0181489 | 0.00120574 / -0.0012057 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0.00273146 / -0.0027315 | 0.000515709 / -0.000515667 | 0.00150805 / -0.00150808 | 2.02789e-06 / -1.98691e-06 | 0.000164667 / -0.000164723 | -0.00170766 / 0.00170762 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.00823751 / -0.00823748 | 0.00988532 / -0.00988532 | 0.00845071 / -0.00845069 | -0.0009914 / 0.000991372 | 0.000618191 / -0.000618247 | -0.0060328 / 0.00603278 | 0 / 0 |
