 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 |
 | PRW | 0.188352 / -0.157956 | -0.00218677 / 0.00214742 | -0.0012094 / 0.00118661 | 0.0102803 / -0.00998449 | -0.0559295 / 0.0576742 | -0.000775737 / 0.000760824 | -1 / 2.03126 |
 | MUON EFF ISO STAT | 0.000621193 / -0.000621195 | 0.00450272 / -0.00450285 | 0.00480557 / -0.00480573 | 0.00360924 / -0.00360933 | 0.00441457 / -0.0044147 | 0.00515396 / -0.00515414 | 0 / 0 |
 | MUON EFF ISO SYS | 0.0190569 / -0.0190593 | 0.0123101 / -0.0123111 | 0.0118705 / -0.0118714 | 0.0155406 / -0.0155422 | 0.0150687 / -0.0150702 | 0.0111882 / -0.011189 | 0 / 0 |
 | MUON EFF RECO STAT | 0.00268479 / -0.00268484 | 0.00107046 / -0.00107046 | 0.00107223 / -0.00107224 | 0.00106977 / -0.00106977 | 0.00107069 / -0.0010707 | 0.00106962 / -0.00106963 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0 / 0 |
 | MUON EFF TTVA STAT | -0.000391117 / 0.000391116 | -0.000927113 / 0.000927107 | -0.000867126 / 0.000867121 | -0.000754974 / 0.00075497 | -0.000691391 / 0.000691387 | -0.000820767 / 0.000820762 | 0 / 0 |
 | MUON EFF TTVA SYS | 0.00591048 / -0.00591071 | 0.00246056 / -0.0024606 | 0.00256037 / -0.00256041 | 0.00277847 / -0.00277852 | 0.0031573 / -0.00315737 | 0.00261244 / -0.00261249 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | -0.0019298 / 0.00192977 | 0.0250626 / -0.0250684 | 0.0235281 / -0.0235332 | 0.0233674 / -0.0233725 | 0.0213588 / -0.0213631 | 0.0220628 / -0.0220673 | 0 / 0 |
 | MUON SCALE | 0 / 0 | -0.00209459 / 0.00209456 | -0.00143613 / 0.00143611 | -0.00446033 / 0.00446021 | 0 / 0 | -0.0019164 / 0.00191637 | 0 / 0 |
 | MUON CB | 0 / 0 | 0.000400821 / -0.000400857 | 0.000166261 / -0.000166268 | -0.000957813 / 0.000957609 | 0.00097243 / -0.000972637 | 0.000198964 / -0.000198972 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0 / 0 | 0 / 0 | 4.41614e-05 / -4.41614e-05 | -0.0010304 / 0.00103038 | 0.000710441 / -0.000710449 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 4.71915e-05 / -4.71915e-05 | 5.41752e-05 / -5.41752e-05 | 0.000258048 / -0.000258049 | 0.00277409 / -0.00277412 | 0.00225984 / -0.00225987 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0.000481549 / -0.00048155 | 0.000339354 / -0.000339355 | 2.71544e-05 / -2.71544e-05 | 0 / 0 | 0.000951793 / -0.000951795 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0.00010418 / -0.00010418 | 8.9777e-05 / -8.97771e-05 | 0 / 0 | 0 / 0 | 0.000363829 / -0.00036383 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.00222196 / -0.00222181 | 0.00166713 / -0.00166704 | 0.00195823 / -0.00195811 | 0 / 0 | 0.0033763 / -0.00337594 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.00169083 / 0.00169083 | -0.00112192 / 0.00112192 | -0.000687626 / 0.000687626 | -0.000388697 / 0.000388697 | -0.00191112 / 0.00191111 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0.000310707 / -0.000310707 | 0.000324795 / -0.000324795 | 9.08886e-05 / -9.08886e-05 | 0 / 0 | -2.11726e-05 / 2.11726e-05 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0145773 / 0.0145772 | 0.00347883 / -0.00347882 | 0.00161902 / -0.00161901 | 0.00310327 / -0.00310326 | 0.000541637 / -0.000541637 | 0.00413068 / -0.00413067 | 0 / 0 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0.00161962 / -0.00161961 | 0.0013911 / -0.0013911 | 0.000802616 / -0.000802614 | 0.000357845 / -0.000357844 | 0.00208263 / -0.00208261 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.000653118 / 0.000653115 | -0.000500664 / 0.000500662 | -0.000135928 / 0.000135928 | -0.000358458 / 0.000358457 | -0.000994939 / 0.000994933 | 0 / 0 |
