 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 | 0.018869 / -0.0188707 |
 | PRW | -1 / 2.03126 | -0.00326152 / 0.0032059 | -0.00411199 / 0.00404494 | 0.0160683 / -0.0155268 | -1 / 2.03126 | 0.0318842 / -0.0303877 | -1 / 2.03126 |
 | MUON EFF ISO STAT | 0 / 0 | 0.00504519 / -0.00504535 | 0.00531373 / -0.00531392 | 0.0049258 / -0.00492596 | 0 / 0 | 0.00598342 / -0.00598366 | 0 / 0 |
 | MUON EFF ISO SYS | 0 / 0 | 0.0114268 / -0.0114277 | 0.0108042 / -0.010805 | 0.0111688 / -0.0111696 | 0 / 0 | 0.00863061 / -0.00863111 | 0 / 0 |
 | MUON EFF RECO STAT | 0 / 0 | 0.00103662 / -0.00103662 | 0.0010458 / -0.00104581 | 0.00118743 / -0.00118744 | 0 / 0 | 0.00101813 / -0.00101813 | 0 / 0 |
 | MUON EFF RECO SYS | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0.00974045 / 0.00974073 | 0 / 0 |
 | MUON EFF TTVA STAT | 0 / 0 | -0.00106591 / 0.0010659 | -0.000963889 / 0.000963883 | -0.000921903 / 0.000921898 | 0 / 0 | -0.00090483 / 0.000904825 | 0 / 0 |
 | MUON EFF TTVA SYS | 0 / 0 | 0.00220317 / -0.0022032 | 0.00232756 / -0.0023276 | 0.003721 / -0.00372109 | 0 / 0 | 0.00214719 / -0.00214722 | 0 / 0 |
 | MUON EFF Trig Stat | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON EFF Trig Syst | 0 / 0 | 0.0278054 / -0.0278126 | 0.0233477 / -0.0233528 | 0.026244 / -0.0262503 | 0 / 0 | 0.0200977 / -0.0201015 | 0 / 0 |
 | MUON SCALE | 0 / 0 | -0.00298608 / 0.00298603 | -0.00130775 / 0.00130774 | 0 / 0 | 0 / 0 | -0.00605782 / 0.0060576 | 0 / 0 |
 | MUON CB | 0 / 0 | 0.00113568 / -0.00113596 | 0.00093203 / -0.00093222 | 0.0160529 / -0.0161019 | 0 / 0 | 0.00159769 / -0.00159825 | 0 / 0 |
 | MUON SAGITTA DATASTAT | 0 / 0 | 0 / 0 | -0.000907408 / 0.000907395 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | -2.37541e-06 / 2.37541e-06 | 2.33666e-05 / -2.33666e-05 | 0.000255499 / -0.000255499 | 0 / 0 | 0.00279298 / -0.00279301 | 0 / 0 |
